osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge
333418517,False,2,Rua General Paranhos,tertiary,False,55.674,"LINESTRING (-52.6785381 -31.4019209, -52.6781586 -31.4023027)",,
323614242,False,2,Rua Conceição Monteiro Bento,tertiary,True,60.79,"LINESTRING (-52.6757661 -31.3979964, -52.6751398 -31.3981108)",,
636928069,False,2,Rua Conceição Monteiro Bento,tertiary,False,53.417,"LINESTRING (-52.6757661 -31.3979964, -52.6763179 -31.3979019)",,
287419932,False,2,Rua Fernando Osório,residential,False,94.608,"LINESTRING (-52.6757661 -31.3979964, -52.6757581 -31.3979437, -52.6756373 -31.3971527)",,
287419932,False,2,Rua Fernando Osório,residential,True,119.155,"LINESTRING (-52.6757661 -31.3979964, -52.6757756 -31.3980733, -52.6758975 -31.3990621)",,
287980207,False,2,Rua Professor André Puente,residential,True,52.543,"LINESTRING (-52.6756373 -31.3971527, -52.676181 -31.3970638)",,
287980209,False,,Rua Professor André Puente,residential,False,67.46,"LINESTRING (-52.6756373 -31.3971527, -52.6749426 -31.3972809)",,
287419932,False,2,Rua Fernando Osório,residential,False,92.266,"LINESTRING (-52.6756373 -31.3971527, -52.675437 -31.3963972, -52.6754227 -31.3963434)",,
287419932,False,2,Rua Fernando Osório,residential,True,94.608,"LINESTRING (-52.6756373 -31.3971527, -52.6757581 -31.3979437, -52.6757661 -31.3979964)",,
287419391,False,,Rua Conde de Porto Alegre,residential,False,89.618,"LINESTRING (-52.6753704 -31.3988824, -52.6753503 -31.3986763, -52.6753329 -31.3986031, -52.6753034 -31.3985195, -52.6752524 -31.3984554, -52.6752041 -31.3983684, -52.6751398 -31.3981108)",,
323614242,False,2,Rua Conceição Monteiro Bento,tertiary,False,60.79,"LINESTRING (-52.6751398 -31.3981108, -52.6757661 -31.3979964)",,
323614242,False,2,Rua Conceição Monteiro Bento,tertiary,True,52.774,"LINESTRING (-52.6751398 -31.3981108, -52.6745959 -31.3982094)",,
