osmid,oneway,name,highway,reversed,length,geometry,ref,bridge,maxspeed
222935172,False,Avenida Ceci Mota,residential,True,126.125,"LINESTRING (-60.1619724 4.5953502, -60.161014 4.5959617)",,,
234677559,False,,residential,True,50.629,"LINESTRING (-60.1619724 4.5953502, -60.1622345 4.5957231)",,,
222935180,False,Avenida Ceci Mota,residential,False,64.517,"LINESTRING (-60.1619724 4.5953502, -60.1622097 4.595167, -60.1624632 4.595044)",,,
742010382,False,,secondary,False,84.589,"LINESTRING (-60.1619724 4.5953502, -60.1616834 4.5949829, -60.1615153 4.5947414)",RR-407,,
222939558,False,,residential,True,50.058,"LINESTRING (-60.1628923 4.5959036, -60.1626978 4.5954973)",,,
222939560,False,Rua Manoel Vieira,residential,False,71.92,"LINESTRING (-60.1628923 4.5959036, -60.1623117 4.5961924)",,,
222939560,False,Rua Manoel Vieira,residential,True,111.649,"LINESTRING (-60.1628923 4.5959036, -60.1633161 4.5956944, -60.1637949 4.5954578)",,,
222939558,False,,residential,False,50.058,"LINESTRING (-60.1626978 4.5954973, -60.1628923 4.5959036)",,,
222939558,False,,residential,True,56.717,"LINESTRING (-60.1626978 4.5954973, -60.1624632 4.595044)",,,
234677536,False,Avenida Victo Mota,residential,False,57.161,"LINESTRING (-60.1626978 4.5954973, -60.1622345 4.5957231)",,,
234677536,False,Avenida Victo Mota,residential,True,126.099,"LINESTRING (-60.1626978 4.5954973, -60.1632596 4.5951427, -60.1636634 4.5948977)",,,
222935168,False,,residential,False,34.268,"LINESTRING (-60.1613916 4.5969811, -60.1612718 4.596697)",,,
222935169,False,Rua Julio Pereira,residential,True,108.871,"LINESTRING (-60.1613916 4.5969811, -60.1623418 4.596733)",,,
293860278,False,,residential,True,75.15599999999999,"LINESTRING (-60.1613916 4.5969811, -60.1614549 4.5972147, -60.1614694 4.5973776, -60.1614925 4.597647)",,,
222935169,False,Rua Julio Pereira,residential,False,108.871,"LINESTRING (-60.1623418 4.596733, -60.1613916 4.5969811)",,,
