osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction
532908036,False,PR-509,Rodovia do Calcário,primary,60,False,111.561,"LINESTRING (-49.300346 -25.311089, -49.301045 -25.3118683)",,,
532908037,False,,Rua Didio Santos,residential,,False,92.56,"LINESTRING (-49.300346 -25.311089, -49.3010811 -25.3105877)",,,
532908038,False,PR-509,Rodovia do Calcário,primary,60,True,111.048,"LINESTRING (-49.300346 -25.311089, -49.2996837 -25.3102897)",,,
106345200,True,,Rua Didio Santos,tertiary,,False,173.144,"LINESTRING (-49.300346 -25.311089, -49.2994869 -25.3116552, -49.2989564 -25.3120091)",,,
532908032,False,PR-509,Rodovia do Calcário,primary,60,False,108.263,"LINESTRING (-49.3017799 -25.3126109, -49.3024105 -25.3134002)",,,
532908033,False,,Rua Antônio Batista de Siqueira,residential,,False,75.427,"LINESTRING (-49.3017799 -25.3126109, -49.3023873 -25.3122126)",,,
584199906,True,,Rua Antônio Batista de Siqueira,tertiary,,False,190.344,"LINESTRING (-49.3017799 -25.3126109, -49.3002519 -25.313622)",,,
532908034,False,PR-509,Rodovia do Calcário,primary,60,True,111.37,"LINESTRING (-49.3017799 -25.3126109, -49.3014248 -25.3121763, -49.3011322 -25.311936, -49.301045 -25.3118683)",,,
126810265,False,,Avenida Rafaela,residential,,True,118.41399999999999,"LINESTRING (-49.3044454 -25.3164514, -49.3043369 -25.3165586, -49.3041676 -25.3169042, -49.3038977 -25.3173878)",,,
1223425229,False,,Rua Vereador Wadislau Bugalski,secondary,,True,82.822,"LINESTRING (-49.3044454 -25.3164514, -49.3043595 -25.3162572, -49.3042964 -25.3161147, -49.3041553 -25.3158988, -49.3040628 -25.3157974)",2,,
850673172,False,PR-092,Rodovia dos Minérios,primary,60,False,44.472,"LINESTRING (-49.3024142 -25.3148627, -49.3022165 -25.3152205)",4,,
56189500,True,,,primary_link,,False,162.11100000000002,"LINESTRING (-49.3024142 -25.3148627, -49.3024936 -25.3145978, -49.3025108 -25.3145403, -49.3025749 -25.3143842, -49.3025964 -25.3141999, -49.3025964 -25.314006, -49.3025427 -25.3137926, -49.3024877 -25.3136022, -49.3024456 -25.3134442)",,,
"[56189496, 56189495, 850673175]",False,PR-092,Rodovia dos Minérios,primary,60,"[False, True]",248.065,"LINESTRING (-49.3024142 -25.3148627, -49.3027531 -25.3141554, -49.3029924 -25.3136739, -49.3032635 -25.313094, -49.303361 -25.3128867, -49.3033895 -25.3128137)",4,yes,
532908032,False,PR-509,Rodovia do Calcário,primary,60,True,6.032,"LINESTRING (-49.3024456 -25.3134442, -49.3024105 -25.3134002)",,,
"[1223425225, 293803501, 106326839]",False,PR-509,"['Rua Vereador Wadislau Bugalski', 'Rodovia do Calcário']",primary,60,False,97.53399999999999,"LINESTRING (-49.3024456 -25.3134442, -49.3027466 -25.3138605, -49.3028319 -25.3140125, -49.3029292 -25.3142025)",,,
56189501,True,,,primary_link,,False,76.102,"LINESTRING (-49.303433 -25.3151299, -49.3031302 -25.314777, -49.3030748 -25.3147168, -49.3030214 -25.3146466, -49.3029852 -25.3145799)",,,
