osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,width
139462305,Rua Paulo Alves,residential,False,False,118.984,,,"LINESTRING (-44.9312711 -21.9755581, -44.9314568 -21.9766142)",,
406344602,Rua Vinte e Um de Abril,tertiary,False,False,73.071,2,40,"LINESTRING (-44.9312711 -21.9755581, -44.9319691 -21.9754447)",,
139462305,Rua Paulo Alves,residential,False,True,105.959,,,"LINESTRING (-44.9312711 -21.9755581, -44.9312483 -21.9753707, -44.9311101 -21.9746172)",,
406344602,Rua Vinte e Um de Abril,tertiary,False,True,41.883,2,40,"LINESTRING (-44.9312711 -21.9755581, -44.9311849 -21.9755648, -44.9311336 -21.9755636, -44.9310847 -21.9755574, -44.9308738 -21.9755027)",,
139462294,Rua Teixeira Leal,tertiary,False,True,92.379,2,40,"LINESTRING (-44.9324039 -21.9753699, -44.9322529 -21.974551)",,
406344602,Rua Vinte e Um de Abril,tertiary,False,True,45.6,2,40,"LINESTRING (-44.9324039 -21.9753699, -44.9319691 -21.9754447)",,
679744635,Rua Teixeira Leal,residential,False,False,123.325,2,30,"LINESTRING (-44.9324039 -21.9753699, -44.9325807 -21.9764668)",,
139462297,Rua Marechal Teodoro da Fonseca,residential,False,False,59.854,2,30,"LINESTRING (-44.9294069 -21.9768819, -44.9299823 -21.976811)",,
140191926,Rua Marcos Rosental,tertiary,False,False,78.842,2,40,"LINESTRING (-44.9294069 -21.9768819, -44.9294928 -21.9766618, -44.9295397 -21.9764889, -44.9295545 -21.9763832, -44.9295598 -21.9762725, -44.9295464 -21.9761942)",,
140191926,Rua Marcos Rosental,tertiary,False,True,107.21199999999999,2,40,"LINESTRING (-44.9294069 -21.9768819, -44.9293828 -21.9770175, -44.9293721 -21.9770921, -44.9293774 -21.9771536, -44.9293962 -21.9772196, -44.929636 -21.9778)",,
139462293,Rua Rui Barbosa,residential,False,False,64.421,2,30,"LINESTRING (-44.9315849 -21.9786715, -44.9321909 -21.9788124)",,
139462293,Rua Rui Barbosa,residential,False,True,41.292,2,30,"LINESTRING (-44.9315849 -21.9786715, -44.9312001 -21.9785687)",,
680050721,Rua Afonso Pena,residential,False,False,100.80000000000001,2,30,"LINESTRING (-44.9315849 -21.9786715, -44.9314709 -21.9790048, -44.9314548 -21.9790632, -44.9314494 -21.9791404, -44.9314682 -21.9792112, -44.9316117 -21.9795309)",,
680050721,Rua Afonso Pena,residential,False,True,106.048,2,30,"LINESTRING (-44.9315849 -21.9786715, -44.9316023 -21.9783991, -44.9316224 -21.9780584, -44.9316546 -21.9777201)",,
