osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,tunnel
139426564,Rua Doutor Ênio José Batista,residential,False,False,168.303,"LINESTRING (-45.4265638 -20.4627601, -45.4266188 -20.4626884, -45.4266509 -20.4626269, -45.4270962 -20.4613358)",,,
344301608,Rua Doutor Ênio José Batista,residential,False,True,151.288,"LINESTRING (-45.4265638 -20.4627601, -45.4260552 -20.4630509, -45.4259908 -20.4630742, -45.4259187 -20.4630855, -45.4252052 -20.4631157)",,,
344301617,Rua Benjamin Constant,residential,False,False,12.749,"LINESTRING (-45.4231815 -20.4621557, -45.423153 -20.4620442)",,,
344301617,Rua Benjamin Constant,residential,False,True,49.92,"LINESTRING (-45.4231815 -20.4621557, -45.4233156 -20.4625867)",,,
403182641,,residential,False,False,80.954,"LINESTRING (-45.4231815 -20.4621557, -45.4224408 -20.4623758)",,,
139426565,Rua Quintino Bocaiúva,residential,True,False,101.872,"LINESTRING (-45.427921 -20.4617184, -45.4271968 -20.4611028)",,,
344301635,Rua Seis de Junho,residential,False,False,82.005,"LINESTRING (-45.427921 -20.4617184, -45.4278586 -20.4618215, -45.4278392 -20.4618755, -45.4277706 -20.4624338)",,,
139426564,Rua Doutor Ênio José Batista,residential,False,False,64.034,"LINESTRING (-45.4271968 -20.4611028, -45.4275951 -20.4606642)",,,
139426564,Rua Doutor Ênio José Batista,residential,False,True,27.948,"LINESTRING (-45.4271968 -20.4611028, -45.4270962 -20.4613358)",,,
139426565,Rua Quintino Bocaiúva,residential,True,False,23.465,"LINESTRING (-45.4271968 -20.4611028, -45.4270278 -20.4609633)",,,
344301617,Rua Benjamin Constant,residential,False,True,24.659,"LINESTRING (-45.4227312 -20.4607878, -45.4228127 -20.460996)",,,
403182647,Travessa José Francino de Oliveira,residential,False,False,60.404,"LINESTRING (-45.4227312 -20.4607878, -45.4222184 -20.4610413)",,,
357494661,Rua Sete de Setembro,secondary,False,True,32.423,"LINESTRING (-45.4220948 -20.468139, -45.4222982 -20.4679183)",,,
425958300,Rua do Expedicionário,secondary,False,False,32.071,"LINESTRING (-45.4220948 -20.468139, -45.4220689 -20.4684264)",,,
357842330,,residential,False,False,20.864,"LINESTRING (-45.4220948 -20.468139, -45.4220831 -20.4681081, -45.4220669 -20.4680721, -45.4220441 -20.4680478, -45.4220074 -20.4680341, -45.4219591 -20.4680238)",,,
357494652,Rua Barão de Piumhi,secondary,False,False,45.439,"LINESTRING (-45.4281431 -20.4662006, -45.4277147 -20.4661238)",,,
357494652,Rua Barão de Piumhi,secondary,False,True,113.036,"LINESTRING (-45.4281431 -20.4662006, -45.4284085 -20.4662078, -45.4285392 -20.4661902, -45.4287283 -20.4661129, -45.42894 -20.4659688, -45.4290924 -20.4658208)",,,
31589583,Rua Sete de Setembro,secondary,False,False,91.14099999999999,"LINESTRING (-45.4246986 -20.4656779, -45.4244877 -20.4657756, -45.4243583 -20.4658604, -45.4240962 -20.4661446, -45.4240443 -20.4662026)",,,
357494657,Rua Sete de Setembro,secondary,True,False,31.116,"LINESTRING (-45.4246986 -20.4656779, -45.4248002 -20.4656069, -45.4249447 -20.4655196)",,,
344282225,Avenida José Arantes,secondary,False,True,88.598,"LINESTRING (-45.4305086 -20.4622864, -45.4301311 -20.4622437, -45.4298857 -20.4621695, -45.4296965 -20.4620792)",AMG-2035,,
344301593,Avenida Juca Pedro,secondary,False,False,109.479,"LINESTRING (-45.4305086 -20.4622864, -45.4308392 -20.4624434, -45.431086 -20.4625917, -45.4313917 -20.4628141)",AMG-2035,,
344301594,Rua Barão de Piumhi,secondary,True,False,115.314,"LINESTRING (-45.4305086 -20.4622864, -45.4306555 -20.4619804, -45.4307199 -20.4619176, -45.4308171 -20.461873, -45.4313503 -20.4617562)",,,
357494661,Rua Sete de Setembro,secondary,False,False,52.389,"LINESTRING (-45.422646 -20.467578, -45.4222982 -20.4679183)",,,
357494661,Rua Sete de Setembro,secondary,False,True,99.018,"LINESTRING (-45.422646 -20.467578, -45.423306 -20.4669372)",,,
"[357494673, 357494671]","['Rua Júlio Oliveira', 'Rua Francisco Rodrigues Nunes']",residential,False,"[False, True]",196.243,"LINESTRING (-45.422646 -20.467578, -45.4229386 -20.4681435, -45.4230106 -20.4681829, -45.4230945 -20.4681772, -45.4237823 -20.4678274, -45.424013 -20.4677093)",,,
