osmid,name,highway,oneway,reversed,length,lanes,access,geometry,maxspeed
45048274,Rua Francisco Ribeiro,residential,False,False,69.22,,,"LINESTRING (-47.478609 -21.7093593, -47.4792567 -21.7095187)",
45048274,Rua Francisco Ribeiro,residential,False,True,111.399,,,"LINESTRING (-47.478609 -21.7093593, -47.4775696 -21.7090926)",
45108938,Avenida Severino Meireles,tertiary,True,False,104.808,2,,"LINESTRING (-47.478609 -21.7093593, -47.4788892 -21.7084534)",
40338890,Rua Inácio Ribeiro,residential,False,False,57.182,,,"LINESTRING (-47.4817456 -21.7064075, -47.4819388 -21.7059256)",
40338890,Rua Inácio Ribeiro,residential,False,True,101.322,,,"LINESTRING (-47.4817456 -21.7064075, -47.4813984 -21.7072597)",
40338887,Rua Victor Meireles,residential,True,False,98.846,,,"LINESTRING (-47.4800948 -21.7069246, -47.4798126 -21.707774)",
43523157,Rua Coronel Joaquim Victor de Souza Meirelles,secondary,True,False,70.696,,,"LINESTRING (-47.4800948 -21.7069246, -47.4794364 -21.7067513)",
40338890,Rua Inácio Ribeiro,residential,False,False,107.743,,,"LINESTRING (-47.4803536 -21.7098162, -47.4807318 -21.7089132)",
40338890,Rua Inácio Ribeiro,residential,False,True,101.927,,,"LINESTRING (-47.4803536 -21.7098162, -47.4800127 -21.7106764)",
45048274,Rua Francisco Ribeiro,residential,False,True,118.048,,,"LINESTRING (-47.4803536 -21.7098162, -47.4792567 -21.7095187)",
88607779,Avenida da Saudade,residential,True,False,62.769,,no,"LINESTRING (-47.4803536 -21.7098162, -47.4809397 -21.709965)",
40338890,Rua Inácio Ribeiro,residential,False,False,101.322,,,"LINESTRING (-47.4813984 -21.7072597, -47.4817456 -21.7064075)",
40338890,Rua Inácio Ribeiro,residential,False,True,99.424,,,"LINESTRING (-47.4813984 -21.7072597, -47.4810645 -21.7080983)",
43523157,Rua Coronel Joaquim Victor de Souza Meirelles,secondary,True,False,139.734,,,"LINESTRING (-47.4813984 -21.7072597, -47.4800948 -21.7069246)",
40338890,Rua Inácio Ribeiro,residential,False,True,57.182,,,"LINESTRING (-47.4819388 -21.7059256, -47.4817456 -21.7064075)",
45045747,Avenida Severino Meireles,tertiary,True,False,71.922,2,,"LINESTRING (-47.4778472 -21.7118027, -47.478043 -21.711182)",
45048254,Rua Monsenhor Porfirio,residential,False,True,67.726,,,"LINESTRING (-47.4778472 -21.7118027, -47.4784772 -21.7119712)",
1004166950,Rua Monsenhor Profírio,tertiary,False,True,80.992,,,"LINESTRING (-47.4778472 -21.7118027, -47.4770988 -21.7115857)",
40338886,Rua José Rodrigues Palhares,secondary,True,False,72.144,2,,"LINESTRING (-47.4796945 -21.7059034, -47.480374 -21.706053)",
40338887,Rua Victor Meireles,residential,True,False,122.392,,,"LINESTRING (-47.4784772 -21.7119712, -47.4781301 -21.7130236)",
45048254,Rua Monsenhor Porfirio,residential,False,False,67.726,,,"LINESTRING (-47.4784772 -21.7119712, -47.4778472 -21.7118027)",
45048254,Rua Monsenhor Porfirio,residential,False,True,90.491,,,"LINESTRING (-47.4784772 -21.7119712, -47.4793156 -21.7122069)",
40338887,Rua Victor Meireles,residential,True,False,99.266,,,"LINESTRING (-47.4792567 -21.7095187, -47.4789955 -21.7103778)",
45048274,Rua Francisco Ribeiro,residential,False,False,118.048,,,"LINESTRING (-47.4792567 -21.7095187, -47.4803536 -21.7098162)",
