osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,69.155,"LINESTRING (-38.4662509 -5.4510336, -38.4662042 -5.451182, -38.4661079 -5.4513044, -38.4659744 -5.4513851, -38.4658209 -5.4514137)"
178170978,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,193.409,"LINESTRING (-38.4662509 -5.4510336, -38.4662675 -5.4511529, -38.4663212 -5.4513302, -38.4663695 -5.4514397, -38.4664446 -5.4515719, -38.4672188 -5.4524419)"
375885833,False,,residential,,,False,145.24099999999999,"LINESTRING (-38.4652048 -5.4502858, -38.4650258 -5.4505305, -38.464844 -5.4507515, -38.4645309 -5.4511306, -38.4643888 -5.4513082)"
806794264,True,Avenida Maria Diogenes de Aquino,residential,40,,False,71.932,"LINESTRING (-38.4652048 -5.4502858, -38.4654827 -5.4504114, -38.465613 -5.4504854, -38.4657974 -5.4505474)"
1037832057,False,Avenida Maria Diogenes de Aquino,residential,40,,False,40.7,"LINESTRING (-38.4652048 -5.4502858, -38.4651298 -5.4502312, -38.4649356 -5.4500377)"
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,53.193,"LINESTRING (-38.4659472 -5.4505662, -38.466089 -5.4506404, -38.4661942 -5.4507606, -38.4662486 -5.4509106)"
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,13.679,"LINESTRING (-38.4662486 -5.4509106, -38.4662509 -5.4510336)"
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,11.287,"LINESTRING (-38.4653835 -5.450984, -38.4653946 -5.4508831)"
806727705,False,Rua Vereador Tertuliano de Melo,residential,,,False,130.794,"LINESTRING (-38.4662031 -5.4515694, -38.4653293 -5.4523612)"
390480966,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,45.825,"LINESTRING (-38.4662031 -5.4515694, -38.4660154 -5.4514773, -38.4658209 -5.4514137)"
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,62.044000000000004,"LINESTRING (-38.4657031 -5.4513981, -38.4655758 -5.4513398, -38.4654736 -5.4512443, -38.4654073 -5.4511215, -38.4653835 -5.450984)"
178170982,True,Avenida Vereador Sobrinho,secondary,40,,False,104.523,"LINESTRING (-38.4657031 -5.4513981, -38.4655584 -5.4514379, -38.4653758 -5.4515109, -38.4649173 -5.4518921)"
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,13.154,"LINESTRING (-38.4658209 -5.4514137, -38.4657031 -5.4513981)"
178170977,True,Avenida Vereador Sobrinho,secondary,40,roundabout,False,16.713,"LINESTRING (-38.4657974 -5.4505474, -38.4659472 -5.4505662)"
178171882,True,Avenida Porcino Maia,residential,40,,False,37.018,"LINESTRING (-38.4708624 -5.4560324, -38.4711773 -5.4559203)"
178171245,True,,tertiary,40,roundabout,False,56.98800000000001,"LINESTRING (-38.4708624 -5.4560324, -38.4709857 -5.4560692, -38.4710932 -5.4561397, -38.4711758 -5.4562379, -38.4712267 -5.4563556)"
806693201,False,,residential,40,,False,9.603,"LINESTRING (-38.4717639 -5.4574383, -38.4716936 -5.4574889)"
806693203,True,Avenida Maria Diogenes de Aquino,unclassified,,,False,13.8,"LINESTRING (-38.4717639 -5.4574383, -38.4718246 -5.4575467)"
178171245,True,,tertiary,40,roundabout,False,28.649,"LINESTRING (-38.470954 -5.4568828, -38.4708275 -5.45691, -38.4706985 -5.4568998)"
806693201,False,,residential,40,,True,9.603,"LINESTRING (-38.4716936 -5.4574889, -38.4717639 -5.4574383)"
390480977,True,,residential,40,,False,106.581,"LINESTRING (-38.4716936 -5.4574889, -38.4713222 -5.4571296, -38.4712243 -5.4570475, -38.4711277 -5.4569854, -38.470954 -5.4568828)"
178171241,True,,residential,40,,False,116.175,"LINESTRING (-38.4712331 -5.4565554, -38.471292 -5.4567658, -38.4713376 -5.4568873, -38.4714012 -5.456995, -38.4717639 -5.4574383)"
178171245,True,,tertiary,40,roundabout,False,49.63,"LINESTRING (-38.4712331 -5.4565554, -38.4711798 -5.4566944, -38.4710831 -5.4568078, -38.470954 -5.4568828)"
178171245,True,,tertiary,40,roundabout,False,56.12499999999999,"LINESTRING (-38.4703583 -5.4564105, -38.470393 -5.4562891, -38.4704607 -5.4561825, -38.470556 -5.4560992, -38.470671 -5.4560462)"
390480966,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,47.677,"LINESTRING (-38.4703583 -5.4564105, -38.470323 -5.4562154, -38.4702881 -5.4560925, -38.4702474 -5.455998)"
178171244,True,Avenida Porcino Maia,tertiary,40,,False,295.01300000000003,"LINESTRING (-38.4706985 -5.4568998, -38.4705661 -5.4569339, -38.470429 -5.4569767, -38.4703157 -5.4570575, -38.4701427 -5.457191, -38.4692549 -5.4579613, -38.4686351 -5.4585386)"
178171245,True,,tertiary,40,roundabout,False,59.644,"LINESTRING (-38.4706985 -5.4568998, -38.4705733 -5.4568502, -38.4704689 -5.4567655, -38.4703948 -5.4566536, -38.4703578 -5.4565246)"
200160420,False,Rua Major Diógenes,residential,,,True,99.674,"LINESTRING (-38.4724022 -5.4531626, -38.4717069 -5.4537322)"
178170978,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,74.126,"LINESTRING (-38.4690428 -5.454441, -38.4694919 -5.4549355)"
178170978,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,13.98,"LINESTRING (-38.4689565 -5.4543492, -38.4690428 -5.454441)"
200158804,True,Avenida Francisco Malanias Bezerra,tertiary,,,False,137.15,"LINESTRING (-38.4689565 -5.4543492, -38.4698621 -5.4535074)"
816757240,False,Rua Zé Parente,residential,,,False,74.033,"LINESTRING (-38.4661744 -5.4588347, -38.4657361 -5.4583318)"
178174485,False,Rua Professora Marlinda Eloi,residential,,,False,136.576,"LINESTRING (-38.4693907 -5.4550198, -38.4684616 -5.455828)"
390480966,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,72.746,"LINESTRING (-38.4693907 -5.4550198, -38.4689459 -5.4545382)"
178170982,True,Avenida Vereador Sobrinho,secondary,40,,False,136.924,"LINESTRING (-38.4649173 -5.4518921, -38.4639836 -5.4526998)"
178174476,False,Rua José Martins Gonçalves,residential,,,True,69.287,"LINESTRING (-38.4649173 -5.4518921, -38.4653293 -5.4523612)"
806697635,False,Rua Cícero Fernandes,residential,,,False,134.696,"LINESTRING (-38.4666621 -5.452025, -38.4657657 -5.4528442)"
390480966,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,72.22200000000001,"LINESTRING (-38.4666621 -5.452025, -38.4663802 -5.4517083, -38.4662931 -5.4516213, -38.4662031 -5.4515694)"
178174483,False,Rua Antônio Pinheiro,residential,,,False,135.426,"LINESTRING (-38.4671182 -5.4525199, -38.4662158 -5.4533423)"
390480966,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,74.681,"LINESTRING (-38.4671182 -5.4525199, -38.4666621 -5.452025)"
178170975,True,Avenida Porcino Maia,tertiary,40,,False,135.642,"LINESTRING (-38.4689116 -5.4581255, -38.4698161 -5.4573025)"
806732008,False,Rua Zacarias SIlveira,residential,,,False,74.028,"LINESTRING (-38.4689116 -5.4581255, -38.4684582 -5.4576361)"
178172103,True,Avenida Francisco Malanias Bezerra,tertiary,40,,False,134.822,"LINESTRING (-38.4643454 -5.4586009, -38.465239 -5.457777)"
178174480,False,Rua Eduardo Rodrigues da Silva,residential,,,True,72.386,"LINESTRING (-38.4643454 -5.4586009, -38.4638977 -5.4581264)"
178170982,True,Avenida Vereador Sobrinho,secondary,40,,False,52.765,"LINESTRING (-38.4639836 -5.4526998, -38.4636443 -5.4530331)"
178174475,False,Rua Zacarias SIlveira,residential,,,True,73.744,"LINESTRING (-38.4639836 -5.4526998, -38.4644281 -5.4531938)"
806755767,False,Rua José Martins Golçalves,residential,,,False,75.267,"LINESTRING (-38.4698161 -5.4573025, -38.469356 -5.4568041)"
178170975,True,Avenida Porcino Maia,tertiary,40,,False,107.89000000000001,"LINESTRING (-38.4698161 -5.4573025, -38.47013 -5.4569988, -38.4702218 -5.4568866, -38.4702775 -5.4567952, -38.4703171 -5.4566971, -38.4703578 -5.4565246)"
200158803,True,Avenida Francisco Malanias Bezerra,tertiary,,,False,50.871,"LINESTRING (-38.4717027 -5.4519402, -38.4713678 -5.4522535)"
499931886,True,Rua Anísio Mendes Barreto,residential,,,False,10.682,"LINESTRING (-38.4717027 -5.4519402, -38.4716378 -5.4518691)"
200158804,True,Avenida Francisco Malanias Bezerra,tertiary,,,False,10.942,"LINESTRING (-38.4716378 -5.4518691, -38.4717128 -5.451805)"
499931886,True,Rua Anísio Mendes Barreto,residential,,,False,143.224,"LINESTRING (-38.4716378 -5.4518691, -38.4707647 -5.4509185)"
200158986,False,Rua Ulisses de Oliveira da Silva,residential,,,True,36.555,"LINESTRING (-38.4707647 -5.4509185, -38.4705215 -5.4511409)"
499931886,True,Rua Anísio Mendes Barreto,residential,,,False,155.815,"LINESTRING (-38.4707647 -5.4509185, -38.4708404 -5.4508487, -38.4708459 -5.4508464, -38.4708528 -5.4508463, -38.470858 -5.4508488, -38.4717128 -5.451805)"
178170978,True,Avenida Maria Diógenes de Aquino,tertiary,40,,False,32.088,"LINESTRING (-38.4680724 -5.4533788, -38.4682671 -5.4535926)"
