osmid,ref,name,highway,oneway,reversed,length,maxspeed,bridge,geometry
183843706,CE-266,Estrada CE - 266,secondary,False,True,85.769,,,"LINESTRING (-39.7313338 -5.1295213, -39.7320456 -5.1292174)"
307466274,,Rua Amelia Ribeiro e Silva,residential,False,False,81.867,60,,"LINESTRING (-39.7313338 -5.1295213, -39.731669 -5.1301775)"
"[183843706, 687271812, 687271813]",CE-266,Estrada CE - 266,secondary,False,False,99.40299999999999,,yes,"LINESTRING (-39.7313338 -5.1295213, -39.7311952 -5.1295973, -39.7307777 -5.1297756, -39.7305097 -5.1298724)"
305617250,,Avenida Francisco Rosier Junior Araujo,residential,False,True,93.791,60,,"LINESTRING (-39.7313338 -5.1295213, -39.7313073 -5.1293771, -39.7312765 -5.1292288, -39.7312336 -5.1290552, -39.7311611 -5.1288561, -39.7311098 -5.1287099)"
544140186,,Rua Basílio Vieira Carneiro,secondary,False,False,3.458,60,,"LINESTRING (-39.7272714 -5.1219374, -39.7272572 -5.1219651)"
814220040,,,residential,False,False,11.128,60,,"LINESTRING (-39.7271673 -5.1222748, -39.7270933 -5.1223425)"
544140186,,Rua Basílio Vieira Carneiro,secondary,False,False,23.984,60,,"LINESTRING (-39.7271673 -5.1222748, -39.7271821 -5.122317, -39.7272049 -5.1223544, -39.7272317 -5.1223865, -39.7272907 -5.1224486)"
544140186,,Rua Basílio Vieira Carneiro,secondary,False,True,21.121000000000002,60,,"LINESTRING (-39.7271673 -5.1222748, -39.7271553 -5.1222188, -39.7271586 -5.1221781, -39.7271647 -5.1221452, -39.7271914 -5.1220932)"
305682036,,Rua Enedina de Carvalho,secondary,False,True,62.222,60,,"LINESTRING (-39.7272907 -5.1224486, -39.7274852 -5.1226195, -39.7277212 -5.1228079)"
476839849,,,residential,False,False,70.835,,,"LINESTRING (-39.7272907 -5.1224486, -39.7270533 -5.122681, -39.726993 -5.1227324, -39.7269621 -5.1227558, -39.7269286 -5.1227758, -39.7268991 -5.1227852, -39.7268683 -5.1227925, -39.7267824 -5.1228052)"
544140186,,Rua Basílio Vieira Carneiro,secondary,False,True,23.984,60,,"LINESTRING (-39.7272907 -5.1224486, -39.7272317 -5.1223865, -39.7272049 -5.1223544, -39.7271821 -5.122317, -39.7271673 -5.1222748)"
305616265,,Rua Vinte e Um de Novembro,residential,False,False,21.692,60,,"LINESTRING (-39.7299892 -5.1240032, -39.7298089 -5.1240794)"
305682048,,Rua Enedina de Carvalho,secondary,False,True,111.855,60,,"LINESTRING (-39.7299892 -5.1240032, -39.7290905 -5.1235442)"
476839844,,,secondary,False,False,47.05,,,"LINESTRING (-39.7299892 -5.1240032, -39.7303747 -5.124181)"
1097313021,,Rua Vinte e Um de Novembro,tertiary,False,True,32.965,60,,"LINESTRING (-39.7299892 -5.1240032, -39.7302656 -5.1238932)"
305616260,,Rua Salviano de S. Leitão,residential,False,False,62.009,60,,"LINESTRING (-39.7293322 -5.12273, -39.7298375 -5.1224898)"
305616260,,Rua Salviano de S. Leitão,residential,False,True,57.467,60,,"LINESTRING (-39.7293322 -5.12273, -39.7288769 -5.1229779)"
305616260,,Rua Salviano de S. Leitão,residential,False,True,62.009,60,,"LINESTRING (-39.7298375 -5.1224898, -39.7293322 -5.12273)"
305682046,,Rua Agonomando Rangel,residential,False,False,27.251,60,,"LINESTRING (-39.7298375 -5.1224898, -39.7299556 -5.1227048)"
