osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,access
455875950,Rua Um,residential,False,False,57.324,"LINESTRING (-35.2428149 -7.8028061, -35.2422961 -7.8028458)",,,
455875951,Rua Dezoito,residential,False,True,86.575,"LINESTRING (-35.2428149 -7.8028061, -35.2425859 -7.8035509)",,,
455875952,Rua Oito,residential,False,False,44.451,"LINESTRING (-35.2428149 -7.8028061, -35.2428294 -7.8024066)",,,
455875951,Rua Dezoito,residential,False,False,66.837,"LINESTRING (-35.2424166 -7.8041281, -35.2425859 -7.8035509)",,,
455875961,Rua Doze,residential,False,False,58.224000000000004,"LINESTRING (-35.2424166 -7.8041281, -35.2421471 -7.804055, -35.2419052 -7.8039961)",,,
455875961,Rua Doze,residential,False,True,47.179,"LINESTRING (-35.2424166 -7.8041281, -35.2425487 -7.8041679, -35.2426929 -7.8042031, -35.242831 -7.8042344)",,,
455875946,Rua Nove,residential,False,False,65.39,"LINESTRING (-35.2428433 -7.8015986, -35.2423376 -7.8019065)",,,
455875952,Rua Oito,residential,False,False,42.908,"LINESTRING (-35.2428433 -7.8015986, -35.2428284 -7.801213)",,,
455875952,Rua Oito,residential,False,True,14.334,"LINESTRING (-35.2428433 -7.8015986, -35.2428447 -7.8017275)",,,
455875952,Rua Oito,residential,False,True,42.908,"LINESTRING (-35.2428284 -7.801213, -35.2428433 -7.8015986)",,,
"[469803697, 469803698, 455875955]",Rua Dezessete,residential,False,False,259.578,"LINESTRING (-35.2428284 -7.801213, -35.2416644 -7.8019484, -35.2415809 -7.8019891, -35.2409781 -7.8023868, -35.2409431 -7.802407, -35.240907 -7.8024141, -35.2408758 -7.802407, -35.2408303 -7.8023887)",yes,,
455876003,Rua Vinte e Nove,residential,False,False,39.167,"LINESTRING (-35.2425721 -7.7999732, -35.2422668 -7.8001537)",,,
455876003,Rua Vinte e Nove,residential,False,True,38.205,"LINESTRING (-35.2425721 -7.7999732, -35.242875 -7.7998059)",,,
455875974,Rua Vinte,residential,False,False,129.979,"LINESTRING (-35.2408247 -7.8020088, -35.2408566 -7.8008403)",,,
455875974,Rua Vinte,residential,False,True,42.248,"LINESTRING (-35.2408247 -7.8020088, -35.2408303 -7.8023887)",,,
455875975,Rua da Saudade,residential,False,False,37.16,"LINESTRING (-35.2408247 -7.8020088, -35.2404874 -7.8020065)",,,
"[464543304, 455876007]","['Rua Dezesseis', 'Rua Vinte e Cinco']",residential,False,True,209.054,"LINESTRING (-35.2408247 -7.8020088, -35.2408838 -7.8020042, -35.2409656 -7.8019789, -35.2417045 -7.8014993, -35.2417347 -7.8014694, -35.2417421 -7.8014474, -35.2417427 -7.8014209, -35.241732 -7.8013903, -35.2415488 -7.8011194, -35.2413197 -7.800777)",,,
455875974,Rua Vinte,residential,False,False,42.248,"LINESTRING (-35.2408303 -7.8023887, -35.2408247 -7.8020088)",,,
455875974,Rua Vinte,residential,False,True,38.718,"LINESTRING (-35.2408303 -7.8023887, -35.2408449 -7.8027366)",,,
455875979,Rua José Gomes Santiago,residential,False,False,112.094,"LINESTRING (-35.2408303 -7.8023887, -35.2398144 -7.8023321)",,,
"[469803697, 469803698, 455875955]",Rua Dezessete,residential,False,True,259.578,"LINESTRING (-35.2408303 -7.8023887, -35.2408758 -7.802407, -35.240907 -7.8024141, -35.2409431 -7.802407, -35.2409781 -7.8023868, -35.2415809 -7.8019891, -35.2416644 -7.8019484, -35.2428284 -7.801213)",yes,,
455875952,Rua Oito,residential,False,False,14.334,"LINESTRING (-35.2428447 -7.8017275, -35.2428433 -7.8015986)",,,
455875952,Rua Oito,residential,False,True,38.24,"LINESTRING (-35.2428447 -7.8017275, -35.2428365 -7.8020713)",,,
455875952,Rua Oito,residential,False,False,38.24,"LINESTRING (-35.2428365 -7.8020713, -35.2428447 -7.8017275)",,,
455875952,Rua Oito,residential,False,True,37.292,"LINESTRING (-35.2428365 -7.8020713, -35.2428294 -7.8024066)",,,
