osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,bridge,geometry
675280422,False,2,Avenida Virgílio de Melo Franco,tertiary,40,True,22.857,,,"LINESTRING (-45.2976072 -21.8500773, -45.297406 -21.8501632)"
"[673953032, 137610058, 673953031]",False,2,Avenida Virgílio de Melo Franco,primary,40,False,243.276,MG-167,yes,"LINESTRING (-45.2976072 -21.8500773, -45.2980417 -21.8499304, -45.298613 -21.8497225, -45.2989523 -21.8496167, -45.2991213 -21.849613, -45.2992554 -21.8496404, -45.299702 -21.849814, -45.2998294 -21.8498482)"
674085530,False,2,Avenida Quintino Bocaiúva,primary,40,True,145.34699999999998,MG-167,,"LINESTRING (-45.2976072 -21.8500773, -45.2976005 -21.8500013, -45.2976246 -21.8499154, -45.2978218 -21.8495532, -45.2978499 -21.849476, -45.2978566 -21.8493777, -45.2978137 -21.8492856, -45.2975093 -21.8489277)"
135934145,False,2,Rua Pedro Beltrão,tertiary,40,False,76.127,,,"LINESTRING (-45.2928503 -21.8544115, -45.292857 -21.8537269)"
675280384,False,2,Avenida José Bacha,residential,30,True,38.738,,,"LINESTRING (-45.2928503 -21.8544115, -45.2932218 -21.8543617)"
136341493,False,2,Avenida João Barros Santos,tertiary,40,False,304.46999999999997,,,"LINESTRING (-45.2928503 -21.8544115, -45.2926813 -21.8556923, -45.2926344 -21.8558616, -45.2925526 -21.8560022, -45.2920993 -21.8564615, -45.2919933 -21.8566046, -45.2919202 -21.8567496, -45.2918624 -21.8568967)"
675280384,False,2,Avenida José Bacha,residential,30,False,84.775,,,"LINESTRING (-45.2928503 -21.8544115, -45.2925512 -21.85447, -45.2923004 -21.8544849, -45.2920376 -21.8544575)"
138168814,False,2,Rua Cassemiro José da Costa,residential,30,True,105.335,,,"LINESTRING (-45.2928785 -21.8518286, -45.2937314 -21.8523489)"
497781743,False,2,Rua Pedro Beltrão,tertiary,40,True,194.62,,,"LINESTRING (-45.2928785 -21.8518286, -45.292853 -21.8535787)"
138166890,False,2,Avenida Marechal Floriano Peixoto,tertiary,40,False,155.957,,,"LINESTRING (-45.2928785 -21.8518286, -45.2929321 -21.8517141, -45.2936254 -21.8508527, -45.2937824 -21.8507121)"
