osmid,oneway,ref,name,highway,reversed,length,bridge,geometry,lanes,width
666171415,True,BR-383;BR-494,Avenida Eduardo Magalhães,trunk,False,23.514,,"LINESTRING (-44.2570939 -21.1328703, -44.2569212 -21.1327333)",,
"[35014745, 901961229, 901961230]",False,,Rua José Leite de Andrade,residential,False,41.984,yes,"LINESTRING (-44.2570939 -21.1328703, -44.2571522 -21.1328088, -44.2573352 -21.1325936, -44.2573479 -21.1325765)",,
"[35014753, 867604204, 867604205]",True,,Ponte da Cadeia,tertiary,False,35.954,yes,"LINESTRING (-44.2602042 -21.1355183, -44.2601608 -21.1355375, -44.2599863 -21.1356831, -44.2599372 -21.1357221)",,
314876335,True,BR-383;BR-494,Rua Manoel Anselmo,trunk,False,126.342,,"LINESTRING (-44.2602042 -21.1355183, -44.2606786 -21.1358676, -44.2611911 -21.1361826)",,
314871737,True,,Travessa Osvaldo da Fonseca Torga,residential,False,26.979,,"LINESTRING (-44.2609082 -21.1333972, -44.2607768 -21.1331878)",,
314891457,False,,Rua Getúlio Vargas,tertiary,True,38.323,,"LINESTRING (-44.2609082 -21.1333972, -44.2608576 -21.1337386)",,
35014724,False,,Rua Santa Teresa,residential,False,121.519,,"LINESTRING (-44.2609082 -21.1333972, -44.261603 -21.1333968, -44.2617443 -21.1333814, -44.262008 -21.1333151, -44.2620684 -21.1333044)",,
35014725,False,,Rua José Veigas,residential,False,44.848,,"LINESTRING (-44.2620684 -21.1333044, -44.2621697 -21.1336965)",,
35014724,False,,Rua Santa Teresa,residential,False,41.942,,"LINESTRING (-44.2620684 -21.1333044, -44.2621428 -21.133249, -44.2621899 -21.1332244, -44.2622229 -21.1332035, -44.2622667 -21.1331653, -44.2623056 -21.1331382, -44.2623688 -21.1330579)",,
35014724,False,,Rua Santa Teresa,residential,True,121.519,,"LINESTRING (-44.2620684 -21.1333044, -44.262008 -21.1333151, -44.2617443 -21.1333814, -44.261603 -21.1333968, -44.2609082 -21.1333972)",,
35014721,True,,Travessa Graça,residential,False,58.522,,"LINESTRING (-44.2626823 -21.1334567, -44.2630199 -21.1338784)",,
