osmid,oneway,highway,reversed,length,geometry,lanes,name,ref
826436826,True,primary,False,8.349,"LINESTRING (-41.8832547 -9.7440252, -41.8832659 -9.7440611, -41.8832644 -9.7440986)",,,
826436826,True,primary,False,7.5760000000000005,"LINESTRING (-41.8830554 -9.7440175, -41.8830776 -9.7439914, -41.8831067 -9.743973)",,,
826436822,True,secondary,False,7.855,"LINESTRING (-41.8831198 -9.7427258, -41.883151 -9.7427894)",1,Avenida Doutor Jayro Sento Sé,
247255809,False,secondary,False,56.353,"LINESTRING (-41.8831198 -9.7427258, -41.8831176 -9.7426712, -41.8831176 -9.7425377, -41.8831122 -9.7422191)",2,Avenida Doutor Jayro Sento Sé,
247255809,False,secondary,True,62.751,"LINESTRING (-41.8831056 -9.7411155, -41.8830993 -9.7416798)",2,Avenida Doutor Jayro Sento Sé,
1054541112,False,secondary,False,55.534,"LINESTRING (-41.8831056 -9.7411155, -41.8825989 -9.7411213)",,Rua Sesembargador Osvaldo Nunes Sento Se,
1054541113,False,residential,True,57.396,"LINESTRING (-41.8831056 -9.7411155, -41.8836293 -9.7411109)",,,
377059097,False,residential,False,71.287,"LINESTRING (-41.8840389 -9.741106, -41.8840388 -9.7404649)",,,
377059097,False,residential,True,62.476,"LINESTRING (-41.8840389 -9.741106, -41.8840523 -9.7416677)",,,
1054541113,False,residential,False,44.892,"LINESTRING (-41.8840389 -9.741106, -41.8836293 -9.7411109)",,,
247255812,False,residential,False,10.148,"LINESTRING (-41.8825989 -9.7411213, -41.8825063 -9.7411219)",,Rua Desembargador Osvaldo Nunes Sento Se,
247255813,False,secondary,False,74.359,"LINESTRING (-41.8825989 -9.7411213, -41.8825859 -9.7404527)",,Avenida Beira Rio,
1054541112,False,secondary,True,55.534,"LINESTRING (-41.8825989 -9.7411213, -41.8831056 -9.7411155)",,Rua Sesembargador Osvaldo Nunes Sento Se,
247255815,False,residential,False,71.587,"LINESTRING (-41.8836293 -9.7411109, -41.8836288 -9.7404671)",,,
247255815,False,residential,True,61.672,"LINESTRING (-41.8836293 -9.7411109, -41.8836582 -9.7416648)",,,
1054541113,False,residential,False,57.396,"LINESTRING (-41.8836293 -9.7411109, -41.8831056 -9.7411155)",,,
1054541113,False,residential,True,44.892,"LINESTRING (-41.8836293 -9.7411109, -41.8840389 -9.741106)",,,
247255815,False,residential,False,67.579,"LINESTRING (-41.8836065 -9.7391677, -41.8835987 -9.73856)",,,
247255815,False,residential,True,53.031,"LINESTRING (-41.8836065 -9.7391677, -41.8836111 -9.7396446)",,,
247255816,False,residential,False,112.499,"LINESTRING (-41.8836065 -9.7391677, -41.88258 -9.7391746)",,,
247255816,False,residential,True,65.066,"LINESTRING (-41.8836065 -9.7391677, -41.8842002 -9.73917)",,,
