osmid,name,highway,oneway,reversed,length,geometry,junction,bridge
172999719,Rua Prudente de Morais,tertiary,False,False,102.194,"LINESTRING (-48.6884665 -21.7342042, -48.6882024 -21.7350899)",,
172999719,Rua Prudente de Morais,tertiary,False,True,99.679,"LINESTRING (-48.6884665 -21.7342042, -48.6887214 -21.7333396)",,
172999724,Rua Dário Rodrigues Lozada,residential,False,False,102.551,"LINESTRING (-48.6884665 -21.7342042, -48.6894254 -21.7344433)",,
172999724,Rua Dário Rodrigues Lozada,residential,False,True,67.122,"LINESTRING (-48.6884665 -21.7342042, -48.6878376 -21.7340522)",,
172999724,Rua Dário Rodrigues Lozada,residential,False,False,100.275,"LINESTRING (-48.6845505 -21.7331789, -48.6854839 -21.7334268)",,
348407293,Rua Joaquim Nabuco,secondary,False,False,103.018,"LINESTRING (-48.6845505 -21.7331789, -48.684281 -21.7340709)",,
"[175740531, 172999724]","['Rua Dário Rodrigues Lozada', 'Rua Vinte e Seis de Abril']",residential,False,"[False, True]",204.243,"LINESTRING (-48.6845505 -21.7331789, -48.6836319 -21.7329584, -48.6836004 -21.7329571, -48.6835782 -21.732964, -48.6835568 -21.7329908, -48.6833274 -21.7338354)",,
175740386,Rua Joaquim Pinto Ramalho,secondary,False,True,99.168,"LINESTRING (-48.684281 -21.7340709, -48.6852063 -21.7343088)",,
348407292,Rua Joaquim Nabuco,residential,False,False,101.432,"LINESTRING (-48.684281 -21.7340709, -48.6840154 -21.7349491)",,
348407293,Rua Joaquim Nabuco,secondary,False,True,103.018,"LINESTRING (-48.684281 -21.7340709, -48.6845505 -21.7331789)",,
348407294,Rua Joaquim Pinto Ramalho,residential,False,False,101.919,"LINESTRING (-48.684281 -21.7340709, -48.6833274 -21.7338354)",,
172999729,,tertiary,True,False,35.095,"LINESTRING (-48.6905864 -21.7339368, -48.6905199 -21.7339497, -48.6904524 -21.7339423, -48.6903908 -21.7339155, -48.6903416 -21.733872, -48.6903097 -21.7338163)",roundabout,
219036736,Rua José de Venci,residential,False,False,63.544,"LINESTRING (-48.6905864 -21.7339368, -48.6906298 -21.7341954, -48.6907062 -21.7344969)",,
172999729,,tertiary,True,False,50.697,"LINESTRING (-48.6903589 -21.7336153, -48.6904263 -21.7335723, -48.6905063 -21.7335562, -48.6905868 -21.7335694, -48.690656 -21.7336099, -48.6907035 -21.7336718, -48.6907222 -21.7337458)",roundabout,
172999722,Rua Siqueira Campos,tertiary,False,True,51.512,"LINESTRING (-48.6896481 -21.7335564, -48.6901273 -21.7336847)",,
348407287,Rua Antônio Caldeira Dantas,residential,False,True,101.266,"LINESTRING (-48.6896481 -21.7335564, -48.6894254 -21.7344433)",,
172999722,Rua Siqueira Campos,tertiary,False,False,98.71000000000001,"LINESTRING (-48.6896481 -21.7335564, -48.6891579 -21.7334443, -48.6887214 -21.7333396)",,
175740565,Travessa José Jordão,residential,False,True,23.059,"LINESTRING (-48.6920527 -21.735349, -48.691991 -21.7355483)",,
175740467,Rua Pires de Carvalho,residential,False,True,98.82900000000001,"LINESTRING (-48.6920527 -21.735349, -48.6917053 -21.7350924, -48.691484 -21.7349877, -48.6912332 -21.7349093)",,
175740321,Rua Dona Mariana,secondary,False,False,97.208,"LINESTRING (-48.691873 -21.7360279, -48.6909637 -21.7358025)",,
"[175740565, 172999718]","['Rua José de Venci', 'Travessa José Jordão']",residential,False,True,194.031,"LINESTRING (-48.691873 -21.7360279, -48.6917791 -21.7362758, -48.6917067 -21.7363618, -48.6915699 -21.7364465, -48.6914264 -21.7364901, -48.6912681 -21.7364839, -48.6911112 -21.736439, -48.6909811 -21.7363905, -48.6909047 -21.7363493, -48.6908698 -21.736302, -48.6908604 -21.7362273, -48.6909637 -21.7358025)",,
175740565,Travessa José Jordão,residential,False,False,54.704,"LINESTRING (-48.691873 -21.7360279, -48.691991 -21.7355483)",,
172999722,Rua Siqueira Campos,tertiary,False,False,51.512,"LINESTRING (-48.6901273 -21.7336847, -48.6896481 -21.7335564)",,
233743633,,tertiary,True,False,25.164,"LINESTRING (-48.6901273 -21.7336847, -48.6902502 -21.7336535, -48.6903589 -21.7336153)",,
172999727,,tertiary,True,False,23.887,"LINESTRING (-48.6903097 -21.7338163, -48.69022 -21.7337445, -48.6901273 -21.7336847)",,
172999729,,tertiary,True,False,23.988,"LINESTRING (-48.6903097 -21.7338163, -48.6902986 -21.7337451, -48.6903158 -21.733675, -48.6903589 -21.7336153)",roundabout,
172999719,Rua Prudente de Morais,tertiary,False,False,99.679,"LINESTRING (-48.6887214 -21.7333396, -48.6884665 -21.7342042)",,
172999722,Rua Siqueira Campos,tertiary,False,False,68.064,"LINESTRING (-48.6887214 -21.7333396, -48.6880889 -21.7331679)",,
