osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access,junction
550941875,True,3,Burnhamthorpe Road West,secondary,60,False,11.342,"LINESTRING (-79.6449737 43.5852086, -79.6448828 43.5852865)",,,
31648220,False,,Rathburn Road West,tertiary,50,True,11.468,"LINESTRING (-79.6488305 43.5927494, -79.6489135 43.5926656)",,,
80794901,False,4,Rathburn Road West,tertiary,50,True,187.33499999999998,"LINESTRING (-79.6502489 43.5912904, -79.6501797 43.5913776, -79.6500756 43.5915195, -79.6499629 43.5916588, -79.6498359 43.5917993, -79.6497061 43.5919259, -79.6495636 43.5920665, -79.6493847 43.5922332, -79.6489857 43.5925988, -79.6489135 43.5926656)",,,
527344691,False,,Living Arts Drive,residential,50,False,137.721,"LINESTRING (-79.6502489 43.5912904, -79.6500912 43.5912462, -79.6493145 43.5909833, -79.649022 43.5908566, -79.6488853 43.5907791, -79.64875 43.5907055)",,,
138284405,True,3,Burnhamthorpe Road West,secondary,60,False,10.862,"LINESTRING (-79.6414988 43.5881324, -79.6414119 43.5882071)",,,
47216452,True,2,Duke of York Boulevard,unclassified,50,False,33.522,"LINESTRING (-79.6414988 43.5881324, -79.6414083 43.5880853, -79.6411459 43.587973)",,,
47216451,True,2,Duke of York Boulevard,tertiary,50,False,16.662,"LINESTRING (-79.6414119 43.5882071, -79.6415646 43.5883082)",,,
31648220,False,,Rathburn Road West,tertiary,50,False,11.468,"LINESTRING (-79.6489135 43.5926656, -79.6488305 43.5927494)",,,
80794897,True,1,Duke of York Boulevard,tertiary,50,False,140.683,"LINESTRING (-79.6489135 43.5926656, -79.6487825 43.5925745, -79.6477694 43.5919747, -79.6477227 43.5919424, -79.6476853 43.5919203, -79.6475956 43.5918388)",,,
80794901,False,4,Rathburn Road West,tertiary,50,False,187.33499999999998,"LINESTRING (-79.6489135 43.5926656, -79.6489857 43.5925988, -79.6493847 43.5922332, -79.6495636 43.5920665, -79.6497061 43.5919259, -79.6498359 43.5917993, -79.6499629 43.5916588, -79.6500756 43.5915195, -79.6501797 43.5913776, -79.6502489 43.5912904)",,,
"[1083022081, 35090594, 137230339, 1083022082, 137230341]",False,"['4', '5']",City Centre Drive,tertiary,"['40', '50']",False,353.609,"LINESTRING (-79.6390883 43.5922108, -79.639217 43.5921035, -79.6394077 43.5919358, -79.6394688 43.5918835, -79.6399695 43.5914453, -79.6403686 43.5910972, -79.6403778 43.5910895, -79.6407577 43.5907691, -79.6410619 43.5905118, -79.6414318 43.5902011, -79.6416241 43.5900406, -79.6418285 43.5898623, -79.6419212 43.5897814)",,,
"[1132285299, 37274061]",False,6,Kariya Gate,unclassified,40,True,57.708,"LINESTRING (-79.6390883 43.5922108, -79.6389745 43.592137, -79.6389396 43.5921121, -79.638547 43.5918709)",,,
138284709,False,5,City Centre Drive,tertiary,50,False,12.469,"LINESTRING (-79.6428904 43.5889726, -79.6427842 43.5890542)",,,
138284710,True,2,Duke of York Boulevard,tertiary,50,False,129.30899999999997,"LINESTRING (-79.6428904 43.5889726, -79.6427744 43.5889116, -79.6422494 43.5886023, -79.6418091 43.5883201, -79.6416575 43.5882284)",,,
138284709,False,5,City Centre Drive,tertiary,50,True,12.469,"LINESTRING (-79.6427842 43.5890542, -79.6428904 43.5889726)",,,
138284711,True,2,Duke of York Boulevard,tertiary,50,False,146.52100000000002,"LINESTRING (-79.6427842 43.5890542, -79.6429142 43.589117, -79.6436221 43.5895631, -79.644054 43.5898268, -79.6441738 43.5899034)",,,
"[1083022080, 137230339, 1083022079]",False,"['4', '5']",City Centre Drive,tertiary,"['40', '50']",True,106.64600000000002,"LINESTRING (-79.6427842 43.5890542, -79.6427268 43.5890981, -79.6422343 43.5895126, -79.6421883 43.5895519, -79.6420068 43.5897028, -79.6419212 43.5897814)",,,
28292309,False,,Prince of Wales Drive,unclassified,,False,12.31,"LINESTRING (-79.646089 43.5909118, -79.6459936 43.5909983)",,,
28435376,False,,Prince of Wales Drive,unclassified,40,False,170.081,"LINESTRING (-79.646089 43.5909118, -79.6461546 43.5908522, -79.6464602 43.5905433, -79.646625 43.5904018, -79.6467907 43.5902595, -79.6472998 43.5898014, -79.6473985 43.5897126)",,,
442948471,True,2,Duke of York Boulevard,tertiary,40,False,189.86,"LINESTRING (-79.646089 43.5909118, -79.6459764 43.5908431, -79.6451738 43.5903509, -79.644396 43.5898984, -79.6442786 43.5898187)",,,
28292309,False,,Prince of Wales Drive,unclassified,,True,12.31,"LINESTRING (-79.6459936 43.5909983, -79.646089 43.5909118)",,,
137230347,True,1,Duke of York Boulevard,tertiary,50,False,132.481,"LINESTRING (-79.6459936 43.5909983, -79.6460939 43.5910612, -79.6466744 43.5914283, -79.6470889 43.5916725, -79.6471271 43.5916987, -79.6472188 43.591789)",,,
28292399,False,,Princess Royal Drive,unclassified,50,False,12.647,"LINESTRING (-79.6442786 43.5898187, -79.6441738 43.5899034)",,,
137230344,True,2,Duke of York Boulevard,tertiary,50,False,146.17100000000002,"LINESTRING (-79.6442786 43.5898187, -79.6441586 43.5897392, -79.6436014 43.5893925, -79.6431986 43.5891462, -79.6430091 43.5890347, -79.6428904 43.5889726)",,,
"[371927105, 442948473]",False,5,Princess Royal Drive,unclassified,50,True,47.61,"LINESTRING (-79.6442786 43.5898187, -79.6443463 43.589764, -79.6445385 43.5896053, -79.6446643 43.5894943)",,,
28292399,False,,Princess Royal Drive,unclassified,50,True,12.647,"LINESTRING (-79.6441738 43.5899034, -79.6442786 43.5898187)",,,
"[438074848, 438074861]",False,"['2', '4']","['Princess Royal Drive', 'Mercer Street']",unclassified,"['40', '50']","[False, True]",225.44700000000003,"LINESTRING (-79.6441738 43.5899034, -79.6441206 43.5899465, -79.6440187 43.5900397, -79.6439489 43.5900805, -79.6438483 43.5901301, -79.6437826 43.5901563, -79.643678 43.5901786, -79.6435157 43.5901825, -79.6434494 43.5901846, -79.6434171 43.5901857, -79.643395 43.5901864, -79.6433132 43.5901981, -79.6432167 43.5902214, -79.6431241 43.5902534, -79.6430289 43.5903069, -79.643 43.5903284, -79.642916 43.5903928, -79.6428169 43.5903324, -79.642441 43.5901029, -79.6420429 43.5898605, -79.6419212 43.5897814)",,,
442948472,True,2,Duke of York Boulevard,tertiary,40,False,190.53499999999997,"LINESTRING (-79.6441738 43.5899034, -79.6443117 43.5899878, -79.6458806 43.5909275, -79.6459936 43.5909983)",,,
28435376,False,,Prince of Wales Drive,unclassified,40,True,170.081,"LINESTRING (-79.6473985 43.5897126, -79.6472998 43.5898014, -79.6467907 43.5902595, -79.646625 43.5904018, -79.6464602 43.5905433, -79.6461546 43.5908522, -79.646089 43.5909118)",,,
"[527344689, 65666714, 1270799621]",False,"['2', '4']",Living Arts Drive,residential,50,False,178.781,"LINESTRING (-79.6473985 43.5897126, -79.6473259 43.5896575, -79.6470061 43.5894318, -79.6468604 43.589329, -79.6467543 43.5892541, -79.6464941 43.5890525, -79.6461449 43.5888233, -79.6458881 43.5886548, -79.645806 43.5885936)",,,
"[527344690, 1083022054, 1083022055]",False,3,Living Arts Drive,residential,50,True,155.13099999999997,"LINESTRING (-79.6473985 43.5897126, -79.6474896 43.589785, -79.6478951 43.5900749, -79.6480654 43.5901975, -79.648378 43.5904362, -79.6486202 43.5906261, -79.64875 43.5907055)",,,
"[45701938, 1266368398, 1266368399]",False,"['2', '3']",Prince of Wales Drive,residential,50,False,207.66699999999997,"LINESTRING (-79.6473985 43.5897126, -79.647495 43.5896348, -79.6476909 43.5894769, -79.6478647 43.5893367, -79.6482136 43.5890553, -79.6483915 43.5889041, -79.6487605 43.5886133, -79.6488056 43.5885777, -79.6490205 43.5884046, -79.6491277 43.5883276)",,,
149425877,False,3,City Centre Drive,unclassified,50,True,11.178,"LINESTRING (-79.6462268 43.5860951, -79.6461401 43.5861736)",17,,
149425880,False,2,Curran Place,residential,50,True,86.05099999999999,"LINESTRING (-79.6462268 43.5860951, -79.6463339 43.5859981, -79.6464466 43.5859194, -79.6469551 43.585624, -79.6470305 43.5855904)",,,
