osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,bridge,access
1246719609,2,Fifth Street East,residential,False,True,56.466,"LINESTRING (-93.3918819 48.6146513, -93.39265 48.6146506)",,,
36763926,2,Fourth Street West,residential,False,False,69.36,"LINESTRING (-93.4012627 48.6130811, -93.4013722 48.6132067, -93.4015632 48.613332, -93.4018351 48.613403, -93.4019973 48.6134122)",,,
476671418,1,Central Avenue,residential,True,False,94.229,"LINESTRING (-93.4012627 48.6130811, -93.4012626 48.6128603, -93.401281 48.6123937, -93.40127 48.612234)",,,
60447772,2,Mowat Avenue,trunk,False,True,118.434,"LINESTRING (-93.3986359 48.6100171, -93.3986389 48.608952)",ON 71,,
952869152,2,Scott Street,primary,False,False,221.583,"LINESTRING (-93.3986359 48.6100171, -93.395622 48.6100126)",,,
90547411,2,Mowat Avenue,trunk,False,False,110.17699999999999,"LINESTRING (-93.3986359 48.6100171, -93.3986288 48.6104994, -93.3986277 48.6105756, -93.3986213 48.6110079)",ON 71,,
90547412,2,Scott Street,primary,False,True,123.197,"LINESTRING (-93.3986359 48.6100171, -93.3992119 48.6100185, -93.3997359 48.6100884, -93.4002735 48.6102036)",,,
90547411,2,Mowat Avenue,trunk,False,True,100.514,"LINESTRING (-93.3986079 48.6119118, -93.3986213 48.6110079)",ON 71,,
36750353,4,Second Street East,trunk,False,False,156.351,"LINESTRING (-93.3986079 48.6119118, -93.4001953 48.6119243, -93.4004262 48.6119505, -93.4007116 48.6120215)",,,
90547405,2,Mowat Avenue,residential,False,False,102.04400000000001,"LINESTRING (-93.3986079 48.6119118, -93.3986187 48.6123883, -93.3986287 48.6128294)",,,
952869154,2,Second Street East,tertiary,False,False,219.655,"LINESTRING (-93.3986079 48.6119118, -93.39835 48.6119122, -93.3956201 48.6119166)",,,
1246719609,2,Fifth Street East,residential,False,False,110.59299999999999,"LINESTRING (-93.3941544 48.6146485, -93.393426 48.6146494, -93.39265 48.6146506)",,,
