osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,access,junction
4323338,False,2,West 7th Avenue,tertiary,True,141.52999999999997,"LINESTRING (-123.1128501 49.2648223, -123.1127252 49.2648196, -123.1126794 49.2648186, -123.1110048 49.2647836, -123.1109006 49.2647822)",,,,
36798235,False,2,Yukon Street,unclassified,False,100.80000000000001,"LINESTRING (-123.1128501 49.2648223, -123.1128529 49.2647503, -123.1128549 49.2647275, -123.1128547 49.2646926, -123.1128743 49.2643614, -123.1128761 49.2643386, -123.1128814 49.2642709, -123.112896 49.2639931, -123.112899 49.2639164)",30,,,
"[1257353957, 1257353958, 1257353959, 1257353960, 36798234]",False,"['2', '3']",West 7th Avenue,tertiary,False,135.15699999999998,"LINESTRING (-123.1128501 49.2648223, -123.1129562 49.2648237, -123.112985 49.2648243, -123.1130796 49.2648264, -123.1134124 49.2648336, -123.113486 49.2648369, -123.1138842 49.2648482, -123.1140881 49.264854, -123.1141298 49.2648563, -123.1142143 49.264861, -123.1145454 49.2648881, -123.1145856 49.2648918, -123.114704 49.2649128)",50,,,
4323338,False,2,West 7th Avenue,tertiary,False,141.53,"LINESTRING (-123.1109006 49.2647822, -123.1110048 49.2647836, -123.1126794 49.2648186, -123.1127252 49.2648196, -123.1128501 49.2648223)",,,,
4323338,False,2,West 7th Avenue,tertiary,True,105.137,"LINESTRING (-123.1109006 49.2647822, -123.1108049 49.2647797, -123.1095858 49.264754, -123.1095608 49.2647535, -123.1094524 49.2647527)",,,,
6163334,False,2,Alberta Street,residential,False,99.838,"LINESTRING (-123.1109006 49.2647822, -123.1109024 49.2647265, -123.1109026 49.2647061, -123.1109135 49.2643413, -123.1109281 49.2639622, -123.110933 49.2638846)",,,,
121020467,False,,Columbia Street,residential,True,99.733,"LINESTRING (-123.1094598 49.2638558, -123.1094592 49.2639291, -123.109456 49.264315, -123.1094522 49.2646794, -123.1094528 49.2646956, -123.1094524 49.2647527)",,,,
589095371,False,,West 8th Avenue,residential,False,106.94800000000001,"LINESTRING (-123.1094598 49.2638558, -123.109585 49.2638583, -123.1096171 49.2638589, -123.1107978 49.2638814, -123.1108252 49.2638819, -123.110933 49.2638846)",50,,,
589095372,False,,Columbia Street,residential,False,81.58700000000002,"LINESTRING (-123.1094598 49.2638558, -123.1094596 49.2637793, -123.1094624 49.2634244, -123.1094638 49.2632502, -123.109464 49.2632273, -123.109468 49.2631221)",,,,
4323338,False,2,West 7th Avenue,tertiary,False,105.137,"LINESTRING (-123.1094524 49.2647527, -123.1095608 49.2647535, -123.1095858 49.264754, -123.1108049 49.2647797, -123.1109006 49.2647822)",,,,
