osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
208362397,4,97 Street NW,secondary,40,False,True,115.81,"LINESTRING (-113.4855036 53.5421475, -113.48557 53.5422536, -113.4855928 53.5422907, -113.4856019 53.5423055, -113.4858697 53.5430317, -113.4858772 53.5430597, -113.485904 53.5431597)",,,
456919847,4,101 Street NW,secondary,40,False,False,15.49,"LINESTRING (-113.4937242 53.5462287, -113.4937232 53.5460894)",21,,
22939904,3,104 Avenue NW,secondary,50,True,False,120.81299999999999,"LINESTRING (-113.4937242 53.5462287, -113.493944 53.5462318, -113.4947119 53.5462344, -113.4952199 53.5462373, -113.4955526 53.5462419)",,,
"[589904945, 27259253, 589904943]",4,101 Street NW,secondary,"['40', '50']",False,True,169.376,"LINESTRING (-113.4937242 53.5462287, -113.4937246 53.5463262, -113.4937241 53.5463847, -113.4937317 53.547641, -113.4937333 53.5476804, -113.4937353 53.5477519)",,,
455490412,4,103 Avenue NW,tertiary,40,False,False,120.106,"LINESTRING (-113.4973907 53.5446044, -113.4972298 53.5446041, -113.4955729 53.5446012)",,,
456885711,,103 Street NW,tertiary,40,False,False,174.13100000000003,"LINESTRING (-113.4973907 53.5446044, -113.4973575 53.5444915, -113.4973576 53.5441477, -113.4973593 53.5438346, -113.4973588 53.5431226, -113.4973588 53.5431048, -113.4973645 53.5430402)",,,
456885711,,103 Street NW,tertiary,40,False,True,174.131,"LINESTRING (-113.4973645 53.5430402, -113.4973588 53.5431048, -113.4973588 53.5431226, -113.4973593 53.5438346, -113.4973576 53.5441477, -113.4973575 53.5444915, -113.4973907 53.5446044)",,,
1196321397,,102 Avenue NW,unclassified,,False,False,115.338,"LINESTRING (-113.4973645 53.5430402, -113.4972286 53.5430419, -113.4966976 53.5430531, -113.4959088 53.5430823, -113.4956238 53.5430576)",,,
473742083,3,103A Avenue NW,secondary,50,True,False,9.516,"LINESTRING (-113.4911788 53.5462724, -113.4913223 53.5462651)",10.9,,
384115428,,100 Street NW,unclassified,40,True,False,40.924,"LINESTRING (-113.4911788 53.5462724, -113.491189 53.5463271, -113.4912541 53.5466377)",,,
589904932,,99 Street NW,tertiary,40,False,True,10.851,"LINESTRING (-113.4895418 53.5463432, -113.4894838 53.5462519)",,,
"[25584120, 673730070]",,"['99 Street NW', '104 Avenue NW']",unclassified,40,False,False,140.452,"LINESTRING (-113.4895418 53.5463432, -113.4895906 53.5464081, -113.4896407 53.546544, -113.4896855 53.5466147, -113.4897124 53.5466415, -113.4897463 53.5466652, -113.4897864 53.5466854, -113.4898242 53.5466992, -113.4898648 53.5467097, -113.4899275 53.5467188, -113.4899921 53.5467203, -113.490615 53.5466822, -113.4912541 53.5466377)",,,
"[475034728, 931871662]","['2', '3']",103A Avenue NW,secondary,50,True,False,108.45300000000002,"LINESTRING (-113.4895418 53.5463432, -113.4897 53.5463324, -113.4901159 53.5463163, -113.49103 53.54628, -113.4910814 53.5462774, -113.4911788 53.5462724)",10.9,,
"[456919857, 515736738, 456919858]",,99 Street NW,tertiary,40,False,False,188.246,"LINESTRING (-113.4891419 53.5445742, -113.4891606 53.5446729, -113.4892399 53.5451126, -113.4893388 53.5456523, -113.4893519 53.5457026, -113.489419 53.5461411, -113.4894838 53.5462519)",,,
