osmid,lanes,name,highway,oneway,reversed,length,geometry,access,maxspeed
494676739,2,Pacific Street,residential,False,False,13.777,"LINESTRING (-122.798095 49.2851981, -122.798078 49.2853215)",,
35196797,2,Pacific Street,residential,False,True,99.93299999999999,"LINESTRING (-122.798095 49.2851981, -122.798103 49.2851358, -122.7981054 49.2851221, -122.7981061 49.2851158, -122.7981063 49.2851091, -122.798123 49.2843536, -122.7981252 49.2842998)",,
35198450,2,Guildford Way,secondary,True,False,167.827,"LINESTRING (-122.798095 49.2851981, -122.797941 49.2851919, -122.7961385 49.2850603, -122.7959415 49.2850457, -122.795795 49.2850344)",,
24265286,2,The High Street,residential,False,False,106.161,"LINESTRING (-122.7960826 49.280805, -122.796082 49.2808959, -122.796077 49.2812595, -122.796081 49.281678, -122.7960807 49.2817597)",,
"[35195296, 35195721]",2,"['Baldwin Street', 'Northern Avenue']",residential,False,False,176.312,"LINESTRING (-122.7960826 49.280805, -122.796157 49.2808093, -122.7969674 49.2808128, -122.7970761 49.2808132, -122.797075 49.2808971, -122.797073 49.2811239, -122.7970729 49.2814612, -122.7970739 49.2816975, -122.7970741 49.2817505)",,
"[1262905253, 1262905254, 1262905255, 1262905256, 24265294]","['2', '3']",Northern Avenue,residential,False,False,194.632,"LINESTRING (-122.7960826 49.280805, -122.796012 49.2808009, -122.7957089 49.2807984, -122.7952709 49.2807949, -122.7947044 49.2807897, -122.7942457 49.2807855, -122.793549 49.2807791, -122.7934 49.2807767)",,
24265286,2,The High Street,residential,False,False,105.986,"LINESTRING (-122.7960807 49.2817597, -122.796079 49.2818394, -122.7960773 49.2820668, -122.7960778 49.2821529, -122.7960855 49.2823008, -122.7960869 49.2823416, -122.7960866 49.2823824, -122.796081 49.2825988, -122.7960783 49.2827127)",,
24265286,2,The High Street,residential,False,True,106.161,"LINESTRING (-122.7960807 49.2817597, -122.796081 49.281678, -122.796077 49.2812595, -122.796082 49.2808959, -122.7960826 49.280805)",,
460225715,3,Atlantic Avenue,residential,False,False,72.097,"LINESTRING (-122.7960807 49.2817597, -122.796163 49.2817598, -122.7963852 49.2817599, -122.7964356 49.2817592, -122.7964628 49.2817582, -122.7964851 49.2817572, -122.7965385 49.2817538, -122.7965809 49.2817517, -122.7966253 49.2817503, -122.7967092 49.2817496, -122.796941 49.28175, -122.7970741 49.2817505)",,
971799607,2,Atlantic Avenue,residential,False,True,22.62,"LINESTRING (-122.7960807 49.2817597, -122.795968 49.2817609, -122.7957689 49.281763)",yes,
390357953,2,Guildford Way,secondary,True,False,12.135,"LINESTRING (-122.792564 49.2848032, -122.7923977 49.2847913)",,
462036708,2,Pinetree Way,secondary,True,False,125.52799999999999,"LINESTRING (-122.792564 49.2848032, -122.79263 49.2846855, -122.7931564 49.2837425)",,
