osmid,name,highway,oneway,reversed,length,lanes,maxspeed,access,geometry
60001425,Butte Street,tertiary,False,False,207.257,,,,"LINESTRING (-104.4117408 50.4827717, -104.411735 50.4809078)"
252794342,3rd Avenue,residential,False,True,138.663,2,40,yes,"LINESTRING (-104.4117408 50.4827717, -104.4124869 50.4826443, -104.4136336 50.4824485)"
252794300,Railway Avenue,residential,False,True,210.97,2,40,yes,"LINESTRING (-104.4117194 50.4779605, -104.4137918 50.4776288, -104.4146109 50.4774981)"
355336325,Butte Street,tertiary,False,True,224.065,,,,"LINESTRING (-104.4117194 50.4779605, -104.4117195 50.4776959, -104.4117195 50.4774588, -104.4117002 50.4761136, -104.4116987 50.4760087, -104.4116987 50.4759455)"
"[538333361, 60001425]",Butte Street,tertiary,False,True,327.72900000000004,,,,"LINESTRING (-104.4117194 50.4779605, -104.4117252 50.4792793, -104.4117279 50.4798587, -104.411728 50.480051, -104.411734 50.4804873, -104.411734 50.4805317, -104.411735 50.4809078)"
252794299,Portice Drive,residential,False,False,385.771,2,40,,"LINESTRING (-104.4167436 50.4748377, -104.4165598 50.4748818, -104.4161331 50.4752034, -104.4159066 50.4752832, -104.4151488 50.4754025, -104.4116987 50.4759455)"
252794299,Portice Drive,residential,False,True,385.771,2,40,,"LINESTRING (-104.4116987 50.4759455, -104.4151488 50.4754025, -104.4159066 50.4752832, -104.4161331 50.4752034, -104.4165598 50.4748818, -104.4167436 50.4748377)"
355336325,Butte Street,tertiary,False,False,224.065,,,,"LINESTRING (-104.4116987 50.4759455, -104.4116987 50.4760087, -104.4117002 50.4761136, -104.4117195 50.4774588, -104.4117195 50.4776959, -104.4117194 50.4779605)"
252794364,8th Street,residential,False,False,107.93,2,40,,"LINESTRING (-104.4214454 50.476417, -104.4217862 50.4773631)"
252794290,Courtside Crescent,residential,False,False,257.044,2,40,,"LINESTRING (-104.4214454 50.476417, -104.4226172 50.476252, -104.4227287 50.4763515, -104.4226905 50.4771697, -104.4217862 50.4773631)"
252794300,Railway Avenue,residential,False,False,90.473,2,40,yes,"LINESTRING (-104.4214454 50.476417, -104.4208665 50.4765041, -104.4202029 50.4766087)"
252794300,Railway Avenue,residential,False,False,104.999,2,40,yes,"LINESTRING (-104.4202029 50.4766087, -104.4187625 50.4768354)"
252794300,Railway Avenue,residential,False,True,90.473,2,40,yes,"LINESTRING (-104.4202029 50.4766087, -104.4208665 50.4765041, -104.4214454 50.476417)"
252794360,7th Street,residential,False,False,173.385,2,40,,"LINESTRING (-104.4202029 50.4766087, -104.4203806 50.4770593, -104.4207904 50.4781225)"
252794300,Railway Avenue,residential,False,True,104.999,2,40,yes,"LINESTRING (-104.4187625 50.4768354, -104.4202029 50.4766087)"
252794300,Railway Avenue,residential,False,False,99.91,2,40,yes,"LINESTRING (-104.4187625 50.4768354, -104.4184002 50.4768931, -104.4173928 50.4770534)"
252794359,6th Street,residential,False,False,173.584,2,,,"LINESTRING (-104.4187625 50.4768354, -104.4189967 50.4772772, -104.4194065 50.4783405)"
252794300,Railway Avenue,residential,False,False,104.02,2,40,yes,"LINESTRING (-104.4173928 50.4770534, -104.4159666 50.47728)"
252794300,Railway Avenue,residential,False,True,99.91,2,40,yes,"LINESTRING (-104.4173928 50.4770534, -104.4184002 50.4768931, -104.4187625 50.4768354)"
