osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,bridge,geometry
76796935,2,1 Street South East,residential,False,False,5.994,,,,"LINESTRING (-99.8371897 50.2482847, -99.8371907 50.2483386)"
76796935,2,1 Street South East,residential,False,True,120.013,,,,"LINESTRING (-99.8371897 50.2482847, -99.8371571 50.2472056)"
76800770,2,Centre Avenue,residential,False,False,13.958,,,,"LINESTRING (-99.8388224 50.2494061, -99.8386261 50.2494075)"
76800770,2,Centre Avenue,residential,False,True,69.807,,,,"LINESTRING (-99.8388224 50.2494061, -99.8398041 50.249399)"
"[76799832, 76800139, 76796896]",2,Main Street,primary,True,False,121.524,16A,50,yes,"LINESTRING (-99.8388224 50.2494061, -99.8388202 50.2492802, -99.8387832 50.2487679, -99.8387741 50.2483138)"
76795193,2,1 Avenue South West,residential,False,False,120.668,,,,"LINESTRING (-99.8404638 50.2478293, -99.8387671 50.2478506)"
76795847,2,2 Street South West,residential,False,True,107.018,,,,"LINESTRING (-99.8437988 50.2468518, -99.8437537 50.2458898)"
76796256,2,2 Avenue South West,residential,False,False,184.504,,,,"LINESTRING (-99.8437988 50.2468518, -99.8412047 50.2468886)"
76796935,2,1 Street South East,residential,False,False,8.007,,,,"LINESTRING (-99.8371907 50.2483386, -99.8371919 50.2484106)"
76796935,2,1 Street South East,residential,False,True,5.994,,,,"LINESTRING (-99.8371907 50.2483386, -99.8371897 50.2482847)"
"[76799306, 76799087]",2,"['1 Avenue South East', '2 Street South East']",residential,False,True,228.209,,,,"LINESTRING (-99.8371907 50.2483386, -99.8361253 50.2483733, -99.8356316 50.248215, -99.8355811 50.2477296, -99.8355718 50.2471991)"
76795006,2,3 Avenue South East,residential,False,False,108.704,,,,"LINESTRING (-99.8370657 50.2460101, -99.835537 50.2460121)"
76795006,2,3 Avenue South East,residential,False,True,102.723,,,,"LINESTRING (-99.8370657 50.2460101, -99.8385102 50.2459997)"
76796935,2,1 Street South East,residential,False,False,133.139,,,,"LINESTRING (-99.8370657 50.2460101, -99.8371087 50.2468642, -99.8371571 50.2472056)"
76800770,2,Centre Avenue,residential,False,False,69.807,,,,"LINESTRING (-99.8398041 50.249399, -99.8388224 50.2494061)"
76800770,2,Centre Avenue,residential,False,True,130.647,,,,"LINESTRING (-99.8398041 50.249399, -99.8416412 50.2493768)"
"[77442390, 76794903]",2,1 Street North West,residential,False,False,208.714,,,,"LINESTRING (-99.8398041 50.249399, -99.8398148 50.25, -99.839816 50.250065, -99.8399291 50.2501176, -99.8411073 50.2501181, -99.841682 50.250096)"
76797478,2,2 Avenue South East,secondary,False,False,13.848,PR 262,,,"LINESTRING (-99.8387426 50.2471972, -99.838548 50.247202)"
76798226,2,Main Street,primary,True,False,29.561,16A;262,50,,"LINESTRING (-99.8387426 50.2471972, -99.8387346 50.2469314)"
76797478,2,2 Avenue South East,secondary,False,True,114.689,PR 262,,,"LINESTRING (-99.8339592 50.2472197, -99.8355718 50.2471991)"
76797478,2,2 Avenue South East,secondary,False,False,76.814,PR 262,,,"LINESTRING (-99.8339592 50.2472197, -99.8336453 50.2472263, -99.8328792 50.2472184)"
76795193,2,1 Avenue South West,residential,False,True,120.668,,,,"LINESTRING (-99.8387671 50.2478506, -99.8404638 50.2478293)"
76795737,2,,residential,False,False,14.962,,,,"LINESTRING (-99.8387671 50.2478506, -99.8385567 50.2478521)"
76796896,2,Main Street,primary,True,False,72.676,16A,50,,"LINESTRING (-99.8387671 50.2478506, -99.8387426 50.2471972)"
76795292,2,Main Street,primary,True,False,29.884,16A;262,50,,"LINESTRING (-99.8385395 50.2469333, -99.838548 50.247202)"
76796256,2,2 Avenue South West,residential,False,True,13.875,,,,"LINESTRING (-99.8385395 50.2469333, -99.8387346 50.2469314)"
76797478,2,2 Avenue South East,secondary,False,True,76.814,PR 262,,,"LINESTRING (-99.8328792 50.2472184, -99.8336453 50.2472263, -99.8339592 50.2472197)"
76797478,2,2 Avenue South East,secondary,False,False,114.689,PR 262,,,"LINESTRING (-99.8355718 50.2471991, -99.8339592 50.2472197)"
76797478,2,2 Avenue South East,secondary,False,True,112.728,PR 262,,,"LINESTRING (-99.8355718 50.2471991, -99.8371571 50.2472056)"
76799087,2,2 Street South East,residential,False,True,132.012,,,,"LINESTRING (-99.8355718 50.2471991, -99.835537 50.2460121)"
"[76799306, 76799087]",2,"['1 Avenue South East', '2 Street South East']",residential,False,False,228.209,,,,"LINESTRING (-99.8355718 50.2471991, -99.8355811 50.2477296, -99.8356316 50.248215, -99.8361253 50.2483733, -99.8371907 50.2483386)"
76800770,2,Centre Avenue,residential,False,True,13.958,,,,"LINESTRING (-99.8386261 50.2494075, -99.8388224 50.2494061)"
76800499,2,Main Street,primary,True,False,172.035,16A,50,,"LINESTRING (-99.8386261 50.2494075, -99.8386489 50.2498214, -99.8386954 50.250954)"
76794520,2,1 Avenue South East,residential,True,False,98.75,,,,"LINESTRING (-99.8385778 50.2482567, -99.8371897 50.2482847)"
76797558,2,Main Street,primary,True,False,15.001,16A,50,,"LINESTRING (-99.8385778 50.2482567, -99.8385802 50.2483916)"
76796935,2,1 Street South East,residential,False,False,120.013,,,,"LINESTRING (-99.8371571 50.2472056, -99.8371897 50.2482847)"
76797478,2,2 Avenue South East,secondary,False,False,112.728,PR 262,,,"LINESTRING (-99.8371571 50.2472056, -99.8355718 50.2471991)"
76796935,2,1 Street South East,residential,False,True,133.139,,,,"LINESTRING (-99.8371571 50.2472056, -99.8371087 50.2468642, -99.8370657 50.2460101)"
