osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,ref,junction
33540932,2,Nelson Road East,residential,False,True,166.315,"LINESTRING (-124.050968 48.8238961, -124.0521454 48.8237158, -124.0531693 48.8235278)",,,,
247974722,,South Shore Road,secondary,True,False,22.038,"LINESTRING (-124.0520943 48.8263567, -124.0518501 48.8264726)",40,,,
"[917219990, 118878707, 118878678]",2,South Shore Road,secondary,False,True,156.571,"LINESTRING (-124.0520943 48.8263567, -124.0522424 48.8262512, -124.0525465 48.8261384, -124.0534949 48.8259025, -124.0537943 48.8258402, -124.0540327 48.8258069)",40,yes,,
33540597,2,Darnell Road,residential,False,False,246.117,"LINESTRING (-124.0512647 48.8268988, -124.0513342 48.8269697, -124.0516004 48.8272418, -124.0517309 48.8273751, -124.0522894 48.8279459, -124.0529152 48.8285825, -124.0530881 48.8287584)",,,,
40997311,2,Cowichan Lake Road,secondary,False,False,112.83,"LINESTRING (-124.0512647 48.8268988, -124.0508579 48.8271872, -124.0507037 48.8272965, -124.0505168 48.8274127, -124.0503361 48.8275076, -124.0501511 48.8275961)",40,,BC 18,
40997311,2,Cowichan Lake Road,secondary,False,True,20.485,"LINESTRING (-124.0512647 48.8268988, -124.0513835 48.8268353, -124.0514827 48.8267833)",40,,BC 18,
33540597,2,Darnell Road,residential,False,True,246.117,"LINESTRING (-124.0530881 48.8287584, -124.0529152 48.8285825, -124.0522894 48.8279459, -124.0517309 48.8273751, -124.0516004 48.8272418, -124.0513342 48.8269697, -124.0512647 48.8268988)",,,,
33540108,2,King George Street North,tertiary,False,False,29.756999999999998,"LINESTRING (-124.0531693 48.8235278, -124.053211 48.8236539, -124.0532651 48.8237878)",50,,,
33540932,2,Nelson Road East,residential,False,False,166.315,"LINESTRING (-124.0531693 48.8235278, -124.0521454 48.8237158, -124.050968 48.8238961)",,,,
335966466,2,King George Street South,tertiary,False,True,67.736,"LINESTRING (-124.0531693 48.8235278, -124.0530932 48.8233386, -124.0529707 48.8230055, -124.0529452 48.8229368)",50,,,
917219987,2,King George Street North,tertiary,False,True,49.994,"LINESTRING (-124.0540327 48.8258069, -124.0540216 48.8257386, -124.0540176 48.825714, -124.0539059 48.8253655)",50,,,
"[921006121, 917219989]",2,South Shore Road,secondary,False,True,142.166,"LINESTRING (-124.0540327 48.8258069, -124.0542445 48.8258094, -124.0545238 48.8258353, -124.0547983 48.8258806, -124.0550039 48.8259065, -124.0551955 48.8259191, -124.0553634 48.8259135, -124.0555292 48.8258922, -124.0556471 48.8258689, -124.055772 48.8258324, -124.0559218 48.8257846)",40,,,
"[118878707, 118878678, 917219990]",2,South Shore Road,secondary,False,False,156.571,"LINESTRING (-124.0540327 48.8258069, -124.0537943 48.8258402, -124.0534949 48.8259025, -124.0525465 48.8261384, -124.0522424 48.8262512, -124.0520943 48.8263567)",40,yes,,
335136947,2,South Shore Road,secondary,False,False,33.486,"LINESTRING (-124.0575871 48.8228422, -124.0577025 48.8231336)",40,,,
1255932701,2,South Shore Road,secondary,False,True,96.689,"LINESTRING (-124.0575871 48.8228422, -124.0572486 48.8220017)",40,,,
33540083,2,Wellington Road,residential,False,False,52.775999999999996,"LINESTRING (-124.0575871 48.8228422, -124.0570313 48.8229333, -124.0569564 48.8229646, -124.0569194 48.8229952)",,,,
33540083,2,Wellington Road,residential,False,True,52.776,"LINESTRING (-124.0569194 48.8229952, -124.0569564 48.8229646, -124.0570313 48.8229333, -124.0575871 48.8228422)",,,,
"[33540201, 33540163]",2,"['Coronation Street South', 'Nelson Road West']",residential,False,"[False, True]",235.116,"LINESTRING (-124.0569194 48.8229952, -124.0568102 48.8229685, -124.0567164 48.8229451, -124.0565956 48.8229478, -124.0550163 48.823205, -124.0549125 48.8231823, -124.0548404 48.823118, -124.0545775 48.8224717)",,,,
"[33540605, 886583382]",2,Wellington Road,residential,False,False,158.151,"LINESTRING (-124.0569194 48.8229952, -124.0569086 48.8230238, -124.056863 48.8231031, -124.0568119 48.8231503, -124.0567615 48.8231782, -124.056698 48.8231947, -124.054991 48.823489)",,,,
33540108,2,King George Street North,tertiary,False,True,92.789,"LINESTRING (-124.0539059 48.8253655, -124.0535788 48.8245593)",50,,,
118878838,2,Riverside Drive,residential,False,True,15.971,"LINESTRING (-124.0539059 48.8253655, -124.0537403 48.825272)",,,,
917219988,2,Renfrew Avenue,residential,False,True,128.462,"LINESTRING (-124.0539059 48.8253655, -124.0556067 48.8250811)",,,,
917219987,2,King George Street North,tertiary,False,False,49.99399999999999,"LINESTRING (-124.0539059 48.8253655, -124.0540176 48.825714, -124.0540216 48.8257386, -124.0540327 48.8258069)",50,,,
33540681,2,River Road,residential,False,True,102.113,"LINESTRING (-124.0608066 48.8265987, -124.0600152 48.8265934, -124.0594139 48.8265598)",,,,
558102895,2,North Shore Road,tertiary,False,True,87.898,"LINESTRING (-124.0608066 48.8265987, -124.0609831 48.8263097, -124.0612546 48.8258653)",50,,,
558102904,2,North Shore Road,tertiary,False,False,298.748,"LINESTRING (-124.0608066 48.8265987, -124.0606393 48.826874, -124.0605103 48.8270861, -124.0603538 48.8272526, -124.0595208 48.8276917, -124.0591508 48.8278867, -124.0588087 48.8280336, -124.0586868 48.8280628, -124.0585037 48.8281065, -124.0578024 48.8281883)",50,,,
