osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,bridge
95042715,2,Hilton Avenue,residential,False,True,97.598,"LINESTRING (-99.9647368 49.8554951, -99.9637964 49.8554871, -99.9633755 49.8554891)",,,,
95042338,2,18th Street North,primary,True,False,166.025,"LINESTRING (-99.9620313 49.8554837, -99.9620289 49.8539906)",PTH 10,50,,
95044253,2,Hilton Avenue,tertiary,False,False,12.531,"LINESTRING (-99.9620313 49.8554837, -99.9618565 49.8554839)",,50,,
95041895,2,Hilton Avenue,residential,False,False,96.366,"LINESTRING (-99.9620313 49.8554837, -99.9621859 49.8554843, -99.9633755 49.8554891)",,50,,
95044170,2,Princess Avenue,tertiary,False,False,97.744,"LINESTRING (-99.9633893 49.8468752, -99.9647524 49.8468857)",,,,
95043732,2,19th Street,residential,False,False,178.158,"LINESTRING (-99.9633893 49.8468752, -99.9634052 49.8473458, -99.9633823 49.8484772)",,,,
95044170,2,Princess Avenue,tertiary,False,True,98.22599999999998,"LINESTRING (-99.9633893 49.8468752, -99.9633757 49.8468752, -99.9621718 49.8468722, -99.9621274 49.8468721, -99.9620195 49.8468751)",,,,
95044550,2,20th Street,residential,False,True,73.011,"LINESTRING (-99.9647585 49.8491314, -99.9647588 49.848908, -99.9647594 49.8484748)",,,,
1018444903,2,12th Street,residential,False,True,72.032,"LINESTRING (-99.9541735 49.849107, -99.9541739 49.8484592)",,,,
95043846,2,Rosser Avenue,tertiary,False,False,98.738,"LINESTRING (-99.9675693 49.8484783, -99.9661922 49.8484808)",,,,
95043744,2,22nd Street,residential,False,False,71.02,"LINESTRING (-99.9675693 49.8484783, -99.9675685 49.8488986, -99.9675681 49.849117)",,,,
95045019,2,22nd Street,residential,False,True,174.97,"LINESTRING (-99.9675693 49.8484783, -99.967556 49.847984, -99.9675393 49.8473637, -99.9675269 49.846905)",,,,
95043533,2,Stickney Avenue,tertiary,False,False,57.559,"LINESTRING (-99.9595222 49.8520789, -99.960325 49.8520841)",,,,
95041890,2,16th Street North,residential,False,False,187.815,"LINESTRING (-99.9595222 49.8520789, -99.9595352 49.852489, -99.9595454 49.8528084, -99.9596134 49.8537668)",,,,
95043298,2,Stickney Avenue,tertiary,False,True,91.281,"LINESTRING (-99.9595222 49.8520789, -99.9592082 49.8520785, -99.958249 49.8520774)",,,,
