osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,tunnel
244643543,2,Rue du Père-Divet,unclassified,False,False,100.508,"LINESTRING (-66.3735569 50.2143981, -66.3724664 50.2149726)",,,
244643543,2,Rue du Père-Divet,unclassified,False,True,193.24099999999999,"LINESTRING (-66.3735569 50.2143981, -66.3746543 50.2138221, -66.3756532 50.2132933)",,,
244643543,2,Rue du Père-Divet,unclassified,False,True,15.043,"LINESTRING (-66.3756532 50.2132933, -66.3758164 50.2132073)",,,
244643543,2,Rue du Père-Divet,unclassified,False,False,193.24099999999999,"LINESTRING (-66.3756532 50.2132933, -66.3746543 50.2138221, -66.3735569 50.2143981)",,,
244643220,2,Rue Napoléon,tertiary,False,False,14.603,"LINESTRING (-66.3729585 50.2109687, -66.3727996 50.2110518)",,,
244643220,2,Rue Napoléon,tertiary,False,True,92.9,"LINESTRING (-66.3729585 50.2109687, -66.3732848 50.210798, -66.3738031 50.2105268, -66.3739692 50.2104399)",,,
244643543,2,Rue du Père-Divet,unclassified,False,False,15.043,"LINESTRING (-66.3758164 50.2132073, -66.3756532 50.2132933)",,,
32968357,2,Boulevard Laure,trunk,True,False,321.433,"LINESTRING (-66.3758164 50.2132073, -66.3743224 50.212037, -66.3729585 50.2109687)",138,50,
244643220,2,Rue Napoléon,tertiary,False,True,14.603,"LINESTRING (-66.3727996 50.2110518, -66.3729585 50.2109687)",,,
32968139,2,Boulevard Laure,trunk,True,False,321.488,"LINESTRING (-66.3727996 50.2110518, -66.3734279 50.2115453, -66.3734561 50.2115675, -66.3739089 50.2119232, -66.373962 50.2119649, -66.3756532 50.2132933)",138,,
244643220,2,Rue Napoléon,tertiary,False,False,101.02,"LINESTRING (-66.3806418 50.2069489, -66.3795428 50.2075239)",,,
244642781,2,Avenue Évangéline,unclassified,False,False,323.207,"LINESTRING (-66.3806418 50.2069489, -66.3808507 50.2071148, -66.3819235 50.207975, -66.3828529 50.2086869, -66.3834906 50.2092123)",,,
244642736,2,Avenue Iberville,unclassified,False,False,327.961,"LINESTRING (-66.3733575 50.2069505, -66.3762756 50.2092333)",,,
244643161,2,Rue Maltais,unclassified,False,False,105.992,"LINESTRING (-66.3733575 50.2069505, -66.372203 50.2075527)",,,
244643220,2,Rue Napoléon,tertiary,False,False,98.931,"LINESTRING (-66.3795428 50.2075239, -66.3784665 50.208087)",,,
244643220,2,Rue Napoléon,tertiary,False,True,101.02,"LINESTRING (-66.3795428 50.2075239, -66.3806418 50.2069489)",,,
244642704,2,Avenue Franquelin,unclassified,False,False,323.077,"LINESTRING (-66.3795428 50.2075239, -66.3799693 50.2078531, -66.3806334 50.2083591, -66.3811894 50.2088078, -66.3819849 50.2094347, -66.3824133 50.2097747)",,,
244642741,2,Avenue Jolliet,unclassified,False,False,328.108,"LINESTRING (-66.372203 50.2075527, -66.3751223 50.2098366)",,,
244643161,2,Rue Maltais,unclassified,False,True,105.992,"LINESTRING (-66.372203 50.2075527, -66.3733575 50.2069505)",,,
244643545,2,Rue du Père-Divet,unclassified,False,True,100.36,"LINESTRING (-66.3856922 50.2080629, -66.3845994 50.2086334)",,,
244642708,2,Avenue Gamache,tertiary,False,False,322.955,"LINESTRING (-66.3784665 50.208087, -66.3813366 50.2103368)",,,
244643220,2,Rue Napoléon,tertiary,False,False,101.778,"LINESTRING (-66.3784665 50.208087, -66.3773592 50.2086663)",,,
244643220,2,Rue Napoléon,tertiary,False,True,98.931,"LINESTRING (-66.3784665 50.208087, -66.3795428 50.2075239)",,,
244642679,2,Avenue De Quen,unclassified,False,False,88.048,"LINESTRING (-66.3845994 50.2086334, -66.3853776 50.209249)",,,
244643545,2,Rue du Père-Divet,unclassified,False,False,100.36,"LINESTRING (-66.3845994 50.2086334, -66.3856922 50.2080629)",,,
244643545,2,Rue du Père-Divet,unclassified,False,True,101.833,"LINESTRING (-66.3845994 50.2086334, -66.3837457 50.2090791, -66.3836209 50.2091442, -66.3834906 50.2092123)",,,
244643220,2,Rue Napoléon,tertiary,False,False,99.606,"LINESTRING (-66.3773592 50.2086663, -66.3762756 50.2092333)",,,
244643220,2,Rue Napoléon,tertiary,False,True,101.778,"LINESTRING (-66.3773592 50.2086663, -66.3784665 50.208087)",,,
