osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref
460784836,True,2,West Street,secondary,False,108.913,"LINESTRING (-80.2690971 43.1402717, -80.2684977 43.1411481)",,
24266351,True,2,Darling Street,residential,False,74.364,"LINESTRING (-80.2690971 43.1402717, -80.2689996 43.1402017, -80.2684355 43.1400304, -80.2682703 43.1400053)",,
24656023,True,3,Albion Street,tertiary,False,51.389,"LINESTRING (-80.2684977 43.1411481, -80.2688373 43.1415382)",50,
"[245534136, 511882813]",False,"['2', '3']",West Street,secondary,True,112.457,"LINESTRING (-80.2684977 43.1411481, -80.268437 43.1412556, -80.2682637 43.1414727, -80.2680986 43.1416384, -80.2680076 43.1417252, -80.2677904 43.1420143)",50,
460784838,False,2,Wellington Street,tertiary,True,52.505,"LINESTRING (-80.2684977 43.1411481, -80.2682655 43.1410302, -80.2679095 43.140974)",,
460922714,False,4,Clarence Street,secondary,False,101.238,"LINESTRING (-80.2590447 43.140638, -80.2590349 43.1405616, -80.25894 43.1398223, -80.2589284 43.1397315)",50,
460922716,False,4,Clarence Street,secondary,True,102.241,"LINESTRING (-80.2590447 43.140638, -80.2590558 43.1407206, -80.2591529 43.1414642, -80.2591646 43.1415533)",50,
"[442986478, 513191175]",False,"['2', '3']",Darling Street,residential,True,136.99,"LINESTRING (-80.2590447 43.140638, -80.2591702 43.14063, -80.2597296 43.1405947, -80.2600414 43.1405748, -80.2600683 43.140573, -80.2606552 43.1405355, -80.2607267 43.1405309)",,
19926491,False,2,West Street,secondary,False,125.223,"LINESTRING (-80.2658807 43.1448259, -80.266534 43.1438056)",,
23824988,False,2,Marlborough Street,residential,False,128.71300000000002,"LINESTRING (-80.2658807 43.1448259, -80.2656357 43.1448355, -80.2647501 43.14487, -80.2644643 43.1448812, -80.2642965 43.1448878)",,
23824990,False,2,Duke Street,residential,False,119.853,"LINESTRING (-80.2658807 43.1448259, -80.2660063 43.1448714, -80.2672017 43.1453084)",,
23824988,False,2,Marlborough Street,residential,False,97.012,"LINESTRING (-80.2642965 43.1448878, -80.2641447 43.1448946, -80.263103 43.1449413)",,
23824988,False,2,Marlborough Street,residential,True,128.713,"LINESTRING (-80.2642965 43.1448878, -80.2644643 43.1448812, -80.2647501 43.14487, -80.2656357 43.1448355, -80.2658807 43.1448259)",,
460969359,False,2,Market Street,secondary,True,103.866,"LINESTRING (-80.2642965 43.1448878, -80.2642695 43.1445998, -80.2642329 43.1442105, -80.264209 43.1439559)",50,Market Street
24236581,False,2,King Street,residential,False,103.974,"LINESTRING (-80.2671716 43.1382741, -80.2671858 43.1383682, -80.2671899 43.1383948, -80.2672389 43.1387327, -80.2672542 43.1388268, -80.2672605 43.1388632, -80.2672977 43.139108, -80.2673122 43.1392035)",,
25751637,True,2,Colborne Street,secondary,False,114.25,"LINESTRING (-80.2671716 43.1382741, -80.2658438 43.138368, -80.2657701 43.1383732)",,
214407821,False,2,Darling Street,residential,True,71.264,"LINESTRING (-80.2673964 43.1400695, -80.2675307 43.1400596, -80.2682703 43.1400053)",,
"[1191863060, 460973775]",False,2,Darling Street,residential,"[False, True]",117.221,"LINESTRING (-80.2673964 43.1400695, -80.2673143 43.1400752, -80.2659586 43.1401726)",,
460973777,False,2,King Street,residential,False,103.23599999999999,"LINESTRING (-80.2673964 43.1400695, -80.2674087 43.1401647, -80.2675161 43.1409938)",,
460973783,False,2,King Street,residential,True,96.53699999999999,"LINESTRING (-80.2673964 43.1400695, -80.2673903 43.1400073, -80.2673177 43.1392605, -80.2673122 43.1392035)",,
19926491,False,2,West Street,secondary,True,104.606,"LINESTRING (-80.2677904 43.1420143, -80.2677132 43.1421215, -80.2673231 43.1426634, -80.2672044 43.142852)",,
24266346,False,2,Pearl Street,residential,False,147.216,"LINESTRING (-80.2677904 43.1420143, -80.2678829 43.1421136, -80.2687151 43.1430075, -80.2688024 43.143113)",,
"[245534136, 511882813]",False,"['2', '3']",West Street,secondary,False,112.457,"LINESTRING (-80.2677904 43.1420143, -80.2680076 43.1417252, -80.2680986 43.1416384, -80.2682637 43.1414727, -80.268437 43.1412556, -80.2684977 43.1411481)",50,
"[40879656, 42874967]",False,"['2', '4']",Clarence Street South,secondary,True,130.86599999999999,"LINESTRING (-80.2588218 43.1388598, -80.2588421 43.1387566, -80.2588831 43.138548, -80.2589712 43.1383542, -80.25913 43.13818, -80.2591955 43.1381193, -80.2593618 43.1380035, -80.2595694 43.1378676)",50,
461374964,False,4,Clarence Street,secondary,True,97.313,"LINESTRING (-80.2588218 43.1388598, -80.2588291 43.1389191, -80.2589203 43.1396654, -80.2589284 43.1397315)",50,
24236820,False,2,Charlotte Street,residential,False,102.065,"LINESTRING (-80.2607267 43.1405309, -80.2607405 43.1406195, -80.2608503 43.1413226, -80.2608691 43.1414429)",,
24236820,False,2,Charlotte Street,residential,True,101.312,"LINESTRING (-80.2607267 43.1405309, -80.2607173 43.1404556, -80.2606539 43.1399468, -80.2606243 43.1397095, -80.2606141 43.1396235)",,
"[442986478, 513191175]",False,"['2', '3']",Darling Street,residential,False,136.99,"LINESTRING (-80.2607267 43.1405309, -80.2606552 43.1405355, -80.2600683 43.140573, -80.2600414 43.1405748, -80.2597296 43.1405947, -80.2591702 43.14063, -80.2590447 43.140638)",,
442986478,False,2,Darling Street,residential,True,146.503,"LINESTRING (-80.2607267 43.1405309, -80.2608634 43.1405227, -80.2616076 43.1404778, -80.2618702 43.140462, -80.2623977 43.1404302, -80.2625262 43.1404224)",,
24266346,False,2,Pearl Street,residential,True,147.216,"LINESTRING (-80.2688024 43.143113, -80.2687151 43.1430075, -80.2678829 43.1421136, -80.2677904 43.1420143)",,
24266347,False,2,Waterloo Street,residential,False,99.81400000000001,"LINESTRING (-80.2688024 43.143113, -80.2687291 43.1431837, -80.2682222 43.1439032)",,
23824990,False,2,Duke Street,residential,True,119.853,"LINESTRING (-80.2672017 43.1453084, -80.2660063 43.1448714, -80.2658807 43.1448259)",,
24266347,False,2,Waterloo Street,residential,True,73.75,"LINESTRING (-80.2672017 43.1453084, -80.2672535 43.1452422, -80.2672722 43.1452182, -80.2676228 43.1447207)",,
24236581,False,2,King Street,residential,True,103.974,"LINESTRING (-80.2673122 43.1392035, -80.2672977 43.139108, -80.2672605 43.1388632, -80.2672542 43.1388268, -80.2672389 43.1387327, -80.2671899 43.1383948, -80.2671858 43.1383682, -80.2671716 43.1382741)",,
460973779,True,3,Dalhousie Street,secondary,False,103.619,"LINESTRING (-80.2673122 43.1392035, -80.267405 43.139197, -80.2677192 43.1391749, -80.2685834 43.1391143)",,
460973783,False,2,King Street,residential,False,96.53699999999999,"LINESTRING (-80.2673122 43.1392035, -80.2673177 43.1392605, -80.2673903 43.1400073, -80.2673964 43.1400695)",,
460922714,False,4,Clarence Street,secondary,True,101.238,"LINESTRING (-80.2589284 43.1397315, -80.25894 43.1398223, -80.2590349 43.1405616, -80.2590447 43.140638)",50,
461374963,True,3,Dalhousie Street,secondary,False,137.30100000000002,"LINESTRING (-80.2589284 43.1397315, -80.259065 43.1397227, -80.2606141 43.1396235)",,
461374964,False,4,Clarence Street,secondary,False,97.313,"LINESTRING (-80.2589284 43.1397315, -80.2589203 43.1396654, -80.2588291 43.1389191, -80.2588218 43.1388598)",50,
442986481,True,2,Colborne Street,secondary,False,88.948,"LINESTRING (-80.2605118 43.1387504, -80.2594185 43.138809)",,
24236820,False,2,Charlotte Street,residential,False,97.43799999999999,"LINESTRING (-80.2605118 43.1387504, -80.2605207 43.138826, -80.2605649 43.139203, -80.2606042 43.1395388, -80.2606141 43.1396235)",,
25463906,False,2,George Street,residential,False,101.202,"LINESTRING (-80.2629627 43.1440395, -80.2629557 43.1439742, -80.2628661 43.1431321)",,
25463906,False,2,George Street,residential,True,100.91900000000001,"LINESTRING (-80.2629627 43.1440395, -80.2629716 43.1440969, -80.2630744 43.1447573, -80.263103 43.1449413)",,
25463907,False,2,Sheridan Street,residential,False,139.44,"LINESTRING (-80.2629627 43.1440395, -80.2628863 43.1440445, -80.2625699 43.1440631, -80.262291 43.1440794, -80.2613392 43.1441353, -80.2612496 43.1441406)",,
25463907,False,2,Sheridan Street,residential,True,101.54199999999999,"LINESTRING (-80.2629627 43.1440395, -80.2630882 43.1440311, -80.2640775 43.1439647, -80.264209 43.1439559)",,
25463906,False,2,George Street,residential,False,104.107,"LINESTRING (-80.2628661 43.1431321, -80.2627822 43.1425514, -80.2627316 43.142201)",,
25463906,False,2,George Street,residential,True,101.202,"LINESTRING (-80.2628661 43.1431321, -80.2629557 43.1439742, -80.2629627 43.1440395)",,
25463908,False,2,Chatham Street,residential,False,140.95800000000003,"LINESTRING (-80.2628661 43.1431321, -80.2627294 43.1431403, -80.2611345 43.1432353)",,
25463908,False,2,Chatham Street,residential,True,100.828,"LINESTRING (-80.2628661 43.1431321, -80.2630083 43.143121, -80.2639401 43.1430571, -80.264103 43.1430444)",,
25463906,False,2,George Street,residential,True,101.416,"LINESTRING (-80.2623617 43.1395184, -80.262369 43.1395711, -80.2623717 43.1395907, -80.2625134 43.1403254, -80.2625262 43.1404224)",,
