osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,ref,maxspeed
35509989,2,St. Andrew Street,residential,False,False,82.883,,"LINESTRING (-81.1976494 43.4652245, -81.1971211 43.4658637)",,
35525106,2,Adelaide Street,residential,False,True,180.321,,"LINESTRING (-81.1976494 43.4652245, -81.1957428 43.464379)",,
"[35522600, 35530866, 35509989]",2,St. Andrew Street,residential,False,True,145.813,yes,"LINESTRING (-81.1976494 43.4652245, -81.197993 43.464829, -81.1981622 43.4646261, -81.1985921 43.4641059)",,
"[35512609, 35531876]",2,"['St. George Street', 'Adelaide Street']",residential,False,False,264.224,,"LINESTRING (-81.1976494 43.4652245, -81.1994803 43.4660302, -81.1995202 43.466079, -81.199534 43.466122, -81.199512 43.4661768, -81.199038 43.466745)",,
35509989,2,St. Andrew Street,residential,False,False,81.183,,"LINESTRING (-81.1932093 43.4705032, -81.1926962 43.4711312)",,
35509989,2,St. Andrew Street,residential,False,True,93.609,,"LINESTRING (-81.1932093 43.4705032, -81.1938104 43.4697832)",,
35503144,2,St. David Street,residential,False,True,84.989,,"LINESTRING (-81.194621 43.4656725, -81.195186 43.4650275)",,
35505378,2,Quebec Street,residential,False,True,180.824,,"LINESTRING (-81.194621 43.4656725, -81.1927044 43.4648302)",,
35503144,2,St. David Street,residential,False,False,91.42099999999999,,"LINESTRING (-81.194621 43.4656725, -81.194112 43.4662563, -81.1940232 43.4663707)",,
35505378,2,Quebec Street,residential,False,False,183.736,,"LINESTRING (-81.194621 43.4656725, -81.1958881 43.4662208, -81.1965764 43.4665188)",,
27962517,2,St. George Street,primary,False,True,258.707,,"LINESTRING (-81.1945683 43.4720437, -81.1962433 43.4700599)",23,50
35506910,2,Rowland Street,residential,False,True,181.98299999999998,,"LINESTRING (-81.1945683 43.4720437, -81.1945 43.4720104, -81.1926962 43.4711312)",,
35520238,2,Rowland Street,residential,False,False,37.531,,"LINESTRING (-81.1945683 43.4720437, -81.1946749 43.4721081, -81.1947169 43.4721335, -81.1949522 43.4722321)",,
35507715,2,Waterloo Street,residential,False,True,179.898,,"LINESTRING (-81.1943307 43.4691735, -81.192393 43.4683736)",,
35509989,2,St. Andrew Street,residential,False,False,79.745,,"LINESTRING (-81.1943307 43.4691735, -81.1938104 43.4697832)",,
35509989,2,St. Andrew Street,residential,False,True,81.053,,"LINESTRING (-81.1943307 43.4691735, -81.1948385 43.4685446)",,
35507715,2,Waterloo Street,residential,False,False,183.131,,"LINESTRING (-81.1943307 43.4691735, -81.1949804 43.4694768, -81.1961718 43.4700269, -81.1962433 43.4700599)",,
28235362,2,Ontario Road,primary,False,True,180.893,,"LINESTRING (-81.1921227 43.4655082, -81.1923112 43.4655938, -81.1940232 43.4663707)",8,50
35503569,2,Wellington Street,residential,False,True,88.81299999999999,,"LINESTRING (-81.1921227 43.4655082, -81.1922074 43.4654095, -81.1927044 43.4648302)",,
