osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel
265598312,True,3,80,Notre Dame Avenue,secondary,50,False,14.133,"LINESTRING (-80.9908951 46.4947484, -80.9908552 46.4948725)",
35250602,True,,,Louis Street,residential,50,False,68.683,"LINESTRING (-80.9908951 46.4947484, -80.9907556 46.4947433, -80.9905666 46.4947364, -80.9903114 46.4947342, -80.9901257 46.4947619, -80.9900451 46.4948259)",
25907485,True,2,51,Larch Street,tertiary,50,False,94.988,"LINESTRING (-80.9963156 46.4913168, -80.99621 46.4913188, -80.995235 46.4913144, -80.9951895 46.4913142, -80.9950752 46.4913082)",
179050218,False,3,67,Elgin Street,secondary,50,True,190.40800000000002,"LINESTRING (-80.9963156 46.4913168, -80.9962617 46.4912242, -80.9962118 46.4911514, -80.9961735 46.4910956, -80.9961015 46.4909855, -80.9960272 46.4908778, -80.9957471 46.4904549, -80.995398 46.489915, -80.9952828 46.4897594)",
233517030,False,3,67,Elgin Street,secondary,50,False,102.15700000000001,"LINESTRING (-80.9963156 46.4913168, -80.9964841 46.4916891, -80.9965002 46.4917704, -80.9965183 46.4918619, -80.9965207 46.4919391, -80.996522 46.4919805, -80.996526 46.4921138, -80.9965272 46.4921544, -80.9965291 46.4922162)",
35250629,False,,,Saint Joseph Street,residential,50,False,88.98100000000001,"LINESTRING (-80.9865316 46.4962905, -80.9865535 46.4963637, -80.9867372 46.4969783, -80.9868163 46.4970598)",
"[35253385, 170492025]",False,2,,"['Louis Street', 'Mountain Street']",residential,50,True,325.156,"LINESTRING (-80.9865316 46.4962905, -80.9868364 46.496257, -80.9870123 46.4962226, -80.9871119 46.4961982, -80.9878722 46.4959771, -80.9884757 46.4958459, -80.9884965 46.4958394, -80.9887622 46.4957558, -80.9889003 46.4956762, -80.9890015 46.4956044, -80.9890953 46.4955243, -80.9892538 46.4953889, -80.9894949 46.495183, -80.9897217 46.4949894, -80.9898271 46.4949177, -80.9899297 46.4948671, -80.9900133 46.4948373, -80.9900451 46.4948259)",
35250629,False,,,Saint Joseph Street,residential,50,True,88.98100000000001,"LINESTRING (-80.9868163 46.4970598, -80.9867372 46.4969783, -80.9865535 46.4963637, -80.9865316 46.4962905)",
35255849,False,4,55,Brady Street,secondary,50,True,50.916,"LINESTRING (-80.9859723 46.4922191, -80.9859741 46.4917612)",
210948680,True,2,53,Cedar Street,tertiary,,False,231.33800000000002,"LINESTRING (-80.9859723 46.4922191, -80.986118 46.4922175, -80.9866169 46.4922169, -80.986751 46.4922167, -80.9870863 46.4922162, -80.988017 46.492215, -80.9883044 46.492217, -80.9889942 46.4922135)",
294004850,False,4,55,Brady Street,secondary,50,False,52.596000000000004,"LINESTRING (-80.9859723 46.4922191, -80.9859741 46.4926407, -80.9859752 46.4926921)",
315022253,True,2,,Durham Street,tertiary,50,False,101.04599999999999,"LINESTRING (-80.9950752 46.4913082, -80.9950743 46.4913899, -80.9950702 46.4917651, -80.9950665 46.4921101, -80.995066 46.4921501, -80.9950653 46.4922169)",
315022363,True,2,51,Larch Street,tertiary,50,False,156.614,"LINESTRING (-80.9950752 46.4913082, -80.9949797 46.4913075, -80.9947336 46.4913056, -80.9938558 46.4912989, -80.9931879 46.4912938, -80.9931322 46.4912933, -80.9930295 46.4912926)",
"[521683771, 35240724]",False,2,67,Elgin Street,secondary,50,True,182.47700000000003,"LINESTRING (-80.9950466 46.4894353, -80.9948024 46.4891818, -80.9947032 46.489095, -80.9946495 46.4890562, -80.9945847 46.4890226, -80.9942526 46.4888697, -80.9936753 46.4886008, -80.9936415 46.4885851, -80.9936111 46.4885722, -80.9932288 46.4884096)",
170641370,False,2,,,secondary_link,,False,57.875,"LINESTRING (-80.9950466 46.4894353, -80.9949466 46.4894663, -80.9949093 46.4894778, -80.9945183 46.4895988, -80.9944459 46.4896339, -80.9944298 46.4896486, -80.994393 46.4896825)",
170641627,True,1,,,tertiary_link,,False,48.18,"LINESTRING (-80.9950466 46.4894353, -80.9950541 46.4895439, -80.9950547 46.4896431, -80.9950598 46.4897377, -80.9950682 46.4898074, -80.995091 46.4898661)",
483001271,False,3,67,Elgin Street,secondary,50,False,40.321,"LINESTRING (-80.9950466 46.4894353, -80.9951811 46.489622, -80.9952828 46.4897594)",
125504311,True,2,53,Cedar Street,tertiary,,False,112.058,"LINESTRING (-80.9950653 46.4922169, -80.9951912 46.4922154, -80.995758 46.4922157, -80.9958358 46.4922158, -80.9963776 46.4922162, -80.9964259 46.4922162, -80.9965291 46.4922162)",
210949194,True,2,,Durham Street,tertiary,50,False,101.22300000000001,"LINESTRING (-80.9950653 46.4922169, -80.9950659 46.49228, -80.9950695 46.4926641, -80.9950707 46.4927879, -80.995073 46.4930334, -80.9950739 46.4931272)",
35253366,False,,,Keziah Court,residential,,False,23.474,"LINESTRING (-80.9853504 46.4931299, -80.9854505 46.4931726, -80.9855319 46.4932116, -80.9856079 46.4932444)",
35238635,False,2,,Grey Street,tertiary,50,False,95.56299999999999,"LINESTRING (-80.9932288 46.4884096, -80.9932266 46.4885321, -80.9932266 46.4885647, -80.9932267 46.4887581, -80.9932248 46.4889303, -80.993221 46.489269)",
"[521683771, 35240724]",False,2,67,Elgin Street,secondary,50,False,182.47700000000003,"LINESTRING (-80.9932288 46.4884096, -80.9936111 46.4885722, -80.9936415 46.4885851, -80.9936753 46.4886008, -80.9942526 46.4888697, -80.9945847 46.4890226, -80.9946495 46.4890562, -80.9947032 46.489095, -80.9948024 46.4891818, -80.9950466 46.4894353)",
"[170492025, 35253385]",False,2,,"['Louis Street', 'Mountain Street']",residential,50,False,325.156,"LINESTRING (-80.9900451 46.4948259, -80.9900133 46.4948373, -80.9899297 46.4948671, -80.9898271 46.4949177, -80.9897217 46.4949894, -80.9894949 46.495183, -80.9892538 46.4953889, -80.9890953 46.4955243, -80.9890015 46.4956044, -80.9889003 46.4956762, -80.9887622 46.4957558, -80.9884965 46.4958394, -80.9884757 46.4958459, -80.9878722 46.4959771, -80.9871119 46.4961982, -80.9870123 46.4962226, -80.9868364 46.496257, -80.9865316 46.4962905)",
170492114,True,,,Louis Street,residential,50,False,63.40200000000001,"LINESTRING (-80.9900451 46.4948259, -80.9901596 46.4948361, -80.9902561 46.4948139, -80.9903286 46.4948084, -80.9904198 46.4948066, -80.9905136 46.4948121, -80.9906075 46.4948269, -80.9907385 46.494851, -80.9908552 46.4948725)",
176686010,False,,35,,primary,,True,11.709,"LINESTRING (-80.9857332 46.4933048, -80.9856079 46.4932444)",
