osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,ref
26935186,Hazel Avenue,residential,30,False,False,98.48100000000001,"LINESTRING (-118.0828689 52.874077, -118.0828213 52.8740045, -118.0825816 52.8736398, -118.0823648 52.8733723, -118.0822793 52.8732667)",,,
26935202,Patricia Street,residential,50,False,True,364.366,"LINESTRING (-118.0828689 52.874077, -118.082993 52.8739916, -118.0834998 52.8736416, -118.0842497 52.8732131, -118.0849584 52.8729375, -118.0858022 52.8726626, -118.0873272 52.872305)",2,,
26944206,Patricia Street,residential,50,True,False,186.981,"LINESTRING (-118.0828689 52.874077, -118.0827609 52.8741756, -118.0823768 52.8745262, -118.0821169 52.8748285, -118.0819762 52.8749946, -118.0817201 52.8753782, -118.08164 52.8755747)",2,12,
31174774,Hazel Avenue,residential,50,False,False,89.468,"LINESTRING (-118.0828689 52.874077, -118.0829497 52.8741463, -118.0830637 52.8742441, -118.0833367 52.874346, -118.0833995 52.8743724, -118.0837632 52.8745011, -118.0839146 52.8745546)",2,,
26935202,Patricia Street,residential,50,False,False,364.366,"LINESTRING (-118.0873272 52.872305, -118.0858022 52.8726626, -118.0849584 52.8729375, -118.0842497 52.8732131, -118.0834998 52.8736416, -118.082993 52.8739916, -118.0828689 52.874077)",2,,
26944204,Spruce Avenue,residential,50,False,False,84.631,"LINESTRING (-118.0873272 52.872305, -118.087262 52.8722084, -118.087086 52.8719469, -118.0869144 52.871662, -118.086874 52.8715949)",,,
26944204,Spruce Avenue,residential,50,False,True,94.722,"LINESTRING (-118.0873272 52.872305, -118.0873647 52.8724111, -118.0873874 52.8724738, -118.0873778 52.8727079, -118.0872801 52.8729644, -118.0872974 52.8730255, -118.0873311 52.8731436)",,,
258585893,Hazel Avenue,secondary,50,False,True,12.276,"LINESTRING (-118.0822004 52.8731671, -118.0822793 52.8732667)",2,7.4,93A
"[848615449, 26944205]",Connaught Drive,secondary,"['50', '30']",True,False,435.81700000000006,"LINESTRING (-118.0822004 52.8731671, -118.0821121 52.873229, -118.0815805 52.8736019, -118.0810274 52.8741196, -118.080969 52.8741942, -118.0806342 52.8746224, -118.0804854 52.874812, -118.0804031 52.8749746, -118.0801861 52.8754033, -118.0801373 52.8755276, -118.0800695 52.8756991, -118.0799699 52.8760034, -118.0799607 52.8760355, -118.0797826 52.876655, -118.0797771 52.8766718, -118.0797628 52.8767241)","['2', '3']",10.9,
258585893,Hazel Avenue,secondary,50,False,False,167.332,"LINESTRING (-118.0822004 52.8731671, -118.0821335 52.8730927, -118.0819995 52.8729437, -118.0819326 52.8728224, -118.0818261 52.8725651, -118.0817608 52.8724815, -118.0816671 52.8723758, -118.0816188 52.8723459, -118.0808352 52.871971)",2,7.4,93A
