osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,ref
"[81522416, 81522415]","['Copihue', 'El Sauce']",residential,False,True,144.215,"LINESTRING (-71.6439956 -34.7282542, -71.6438801 -34.7283035, -71.6437518 -34.7283733, -71.6435293 -34.728525, -71.6434919 -34.728639, -71.6435085 -34.7288817, -71.6437165 -34.7293139)",,,,
397837967,Los Aromos,primary,True,False,67.016,"LINESTRING (-71.6439956 -34.7282542, -71.6438828 -34.7279473, -71.6437635 -34.7276828)",50,,,
81522417,Callejón El Sauce,residential,False,True,44.695,"LINESTRING (-71.6437165 -34.7293139, -71.6433049 -34.729531)",,,,
"[81522416, 81522415]","['Copihue', 'El Sauce']",residential,False,False,144.215,"LINESTRING (-71.6437165 -34.7293139, -71.6435085 -34.7288817, -71.6434919 -34.728639, -71.6435293 -34.728525, -71.6437518 -34.7283733, -71.6438801 -34.7283035, -71.6439956 -34.7282542)",,,,
"[81522416, 81522464]","['El Sauce', 'El Canelo']",residential,False,True,176.875,"LINESTRING (-71.6437165 -34.7293139, -71.6446186 -34.7301162, -71.6446784 -34.7301389, -71.6447227 -34.7301306, -71.6451488 -34.7299236)",,,,
81522525,Los Laureles,residential,False,True,84.153,"LINESTRING (-71.6458194 -34.7278426, -71.6456658 -34.7285888)",,2,,
"[81522418, 958058355, 958058356, 81522419]",Los Laureles,residential,False,True,545.471,"LINESTRING (-71.6458194 -34.7278426, -71.6465821 -34.7277318, -71.6472511 -34.7257998, -71.6479818 -34.7237849, -71.6480345 -34.7236383, -71.6480362 -34.7236336)",,,yes,
255622868,,residential,False,False,236.394,"LINESTRING (-71.6458194 -34.7278426, -71.645865 -34.7275395, -71.6459213 -34.7273455, -71.6464779 -34.7257903)",,,,
475390328,El Arrayán,residential,False,True,28.89,"LINESTRING (-71.6390516 -34.7239635, -71.6392541 -34.723764)",,,,
81522425,Avenida Ignacio Carrera Pinto,residential,False,True,72.073,"LINESTRING (-71.6479692 -34.728386, -71.6479394 -34.7277383)",,,,
571817204,Avenida Los Alerces,primary,False,False,39.431,"LINESTRING (-71.6479692 -34.728386, -71.6482696 -34.7283662, -71.6483997 -34.7283673)",50,2,,I-72
571817204,Avenida Los Alerces,primary,False,True,152.73600000000002,"LINESTRING (-71.6479692 -34.728386, -71.6478233 -34.7283975, -71.6463059 -34.7285203)",50,2,,I-72
81522597,Los Aromos,tertiary,False,False,11.248,"LINESTRING (-71.6464658 -34.7316253, -71.6464309 -34.7315283)",50,2,,
255622867,La Paz,residential,True,False,128.518,"LINESTRING (-71.6464658 -34.7316253, -71.6452025 -34.7321332)",,,,
81522426,Calle La Paz,tertiary,False,False,118.63900000000001,"LINESTRING (-71.6464658 -34.7316253, -71.6465663 -34.7315865, -71.6476406 -34.7311712)",50,2,,
81522550,Los Quillayes,residential,False,False,136.461,"LINESTRING (-71.6476406 -34.7311712, -71.6479705 -34.7299743)",50,2,,
81522426,Calle La Paz,tertiary,False,True,118.63900000000001,"LINESTRING (-71.6476406 -34.7311712, -71.6465663 -34.7315865, -71.6464658 -34.7316253)",50,2,,
81522597,Los Aromos,tertiary,False,False,59.268,"LINESTRING (-71.6451488 -34.7299236, -71.6448136 -34.7294673)",50,2,,
81522597,Los Aromos,tertiary,False,True,91.913,"LINESTRING (-71.6451488 -34.7299236, -71.6456839 -34.7306235)",50,2,,
"[81522464, 81522416]","['El Sauce', 'El Canelo']",residential,False,False,176.875,"LINESTRING (-71.6451488 -34.7299236, -71.6447227 -34.7301306, -71.6446784 -34.7301389, -71.6446186 -34.7301162, -71.6437165 -34.7293139)",,,,
81522597,Los Aromos,tertiary,False,True,59.268,"LINESTRING (-71.6448136 -34.7294673, -71.6451488 -34.7299236)",50,2,,
397837967,Los Aromos,primary,True,False,154.695,"LINESTRING (-71.6448136 -34.7294673, -71.6442644 -34.7287464, -71.6440683 -34.7284282, -71.6439956 -34.7282542)",50,,,
