osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,tunnel,ref
85063347,Los Pozos,residential,False,False,66.413,"LINESTRING (-70.6186689 -26.3456593, -70.6184658 -26.3452501, -70.6183965 -26.3451142)",,,,
85063418,Domeyko,residential,True,False,30.756,"LINESTRING (-70.6186689 -26.3456593, -70.6184309 -26.3457576, -70.6183886 -26.3457751)",2,,,
534252346,Zuleta,residential,True,False,50.6,"LINESTRING (-70.6179693 -26.3442602, -70.618438 -26.3440851)",2,,,
85063347,Los Pozos,residential,False,True,71.434,"LINESTRING (-70.6179693 -26.3442602, -70.618013 -26.3444934, -70.6181359 -26.3447279, -70.6182275 -26.3448497)",,,,
85063358,Freire,residential,True,False,78.588,"LINESTRING (-70.6236466 -26.347326, -70.6244111 -26.3474997)",2,50,,
1106620286,Chacabuco,residential,True,False,55.623,"LINESTRING (-70.6236466 -26.347326, -70.6237744 -26.3469193, -70.6237979 -26.3468445)",2,50,,
85063363,Las Heras,residential,True,False,53.894,"LINESTRING (-70.6244111 -26.3474997, -70.6242781 -26.3479695)",2,50,,
85063358,Freire,residential,True,False,91.406,"LINESTRING (-70.6244111 -26.3474997, -70.6248953 -26.347553, -70.6253218 -26.3475983)",2,50,,
85063361,Muller,residential,False,False,69.255,"LINESTRING (-70.6253218 -26.3475983, -70.6251419 -26.3481999)",2,50,,
85063361,Muller,residential,False,True,34.755,"LINESTRING (-70.6253218 -26.3475983, -70.6253958 -26.3473498, -70.6254117 -26.3472963)",2,50,,
534252346,Zuleta,residential,True,False,52.474,"LINESTRING (-70.6174848 -26.3444451, -70.6179693 -26.3442602)",2,,,
161295528,Las Animas,living_street,False,True,26.723000000000003,"LINESTRING (-70.6174848 -26.3444451, -70.6175349 -26.3444946, -70.6176116 -26.3446539)",,,,
534252346,Zuleta,residential,True,False,29.53,"LINESTRING (-70.6186084 -26.3440215, -70.6188806 -26.3439165)",2,,,
534252346,Zuleta,residential,True,False,18.394,"LINESTRING (-70.618438 -26.3440851, -70.6186084 -26.3440215)",2,,,
85063356,Bellavista,residential,False,False,184.60100000000003,"LINESTRING (-70.618438 -26.3440851, -70.6184609 -26.3441725, -70.6185394 -26.344342, -70.6186314 -26.3445371, -70.6187633 -26.3448167, -70.6189116 -26.3450725, -70.6190205 -26.3452426, -70.6190356 -26.3452908, -70.6190287 -26.3453475, -70.6189801 -26.3454364, -70.6188602 -26.3455821)",,,,
