osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
1110032633,False,2,Pedro Aguirre Cerda,residential,50,True,133.09199999999998,,"LINESTRING (-72.9527092 -39.6675906, -72.9526577 -39.6675893, -72.9512278 -39.6675637, -72.9511547 -39.6675624)"
162097448,False,2,Darío Salas,residential,50,True,32.32,,"LINESTRING (-72.9540587 -39.6676144, -72.9540462 -39.6679049)"
162097448,False,2,Darío Salas,residential,50,False,140.89700000000002,,"LINESTRING (-72.9540587 -39.6676144, -72.9541135 -39.6664373, -72.9541155 -39.6663959, -72.9541177 -39.6663481)"
1110032633,False,2,Pedro Aguirre Cerda,residential,50,True,115.53899999999999,,"LINESTRING (-72.9540587 -39.6676144, -72.9540065 -39.6676135, -72.9527659 -39.6675912, -72.9527092 -39.6675906)"
84198381,False,2,Balmaceda,residential,50,False,6.449,,"LINESTRING (-72.9518348 -39.665175, -72.9518125 -39.6652304)"
84198381,False,2,Balmaceda,residential,50,True,114.637,,"LINESTRING (-72.9518348 -39.665175, -72.9518496 -39.6651361, -72.9521727 -39.6642937, -72.9521861 -39.6642588, -72.9522134 -39.6641861)"
84198382,True,2,San Martín,secondary,50,False,87.21099999999998,,"LINESTRING (-72.9518348 -39.665175, -72.951902 -39.6651744, -72.9528081 -39.6651663, -72.9528536 -39.6651659)"
84198381,False,2,Balmaceda,residential,50,True,8.438,,"LINESTRING (-72.9513992 -39.6663108, -72.9514227 -39.6662371)"
788295351,True,2,Bernardo O'Higgins,secondary,50,False,120.67399999999999,,"LINESTRING (-72.9513992 -39.6663108, -72.9513203 -39.6663085, -72.9500678 -39.6662928, -72.9499896 -39.6662918)"
1214649183,False,2,Balmaceda,residential,50,False,140.745,,"LINESTRING (-72.9513992 -39.6663108, -72.9513885 -39.6663501, -72.9511629 -39.6675199, -72.9511547 -39.6675624)"
"[1214895266, 518743884]",False,2,Arturo Prat,secondary,50,True,130.957,,"LINESTRING (-72.9505185 -39.6651867, -72.9504845 -39.6652567, -72.9504508 -39.6653259, -72.9500511 -39.666163, -72.9499896 -39.6662918)"
"[1214895264, 1214895265]",False,2,Arturo Prat,secondary,50,False,117.922,,"LINESTRING (-72.9505185 -39.6651867, -72.9505393 -39.665141, -72.9505607 -39.6650942, -72.9509716 -39.6641852)"
"[1214895267, 1214895268, 84198382]",True,2,San Martín,secondary,50,False,112.678,,"LINESTRING (-72.9505185 -39.6651867, -72.9505758 -39.6651862, -72.9517582 -39.6651757, -72.9518348 -39.665175)"
788295347,False,2,Chacabuco,secondary,50,False,6.312,,"LINESTRING (-72.9528536 -39.6651659, -72.9528501 -39.6652226)"
"[788295348, 84198390]",False,2,"['Castel Blanco', 'Chacabuco']",tertiary,50,True,159.58299999999997,,"LINESTRING (-72.9528536 -39.6651659, -72.9528557 -39.6651324, -72.9528574 -39.6650955, -72.9528719 -39.6647795, -72.9528746 -39.6643036, -72.9528668 -39.664273, -72.9528495 -39.6642447, -72.9528238 -39.6642205, -72.9527953 -39.6642037, -72.9527628 -39.664192, -72.9527278 -39.6641859, -72.9522839 -39.664185, -72.9522134 -39.6641861)"
