osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,bridge
65945052,False,,,unclassified,False,35.519,"LINESTRING (-73.0056176 -41.2559183, -73.0052158 -41.2558144)",,,
260230588,False,2,Baquedano,primary,False,41.033,"LINESTRING (-73.0056176 -41.2559183, -73.0057824 -41.2555707)",50,V-155,
260230588,False,2,Baquedano,primary,True,85.713,"LINESTRING (-73.0056176 -41.2559183, -73.005316 -41.2565545, -73.0052734 -41.2566444)",50,V-155,
65945055,False,2,Manuel Bulnes,residential,False,102.501,"LINESTRING (-73.0057824 -41.2555707, -73.0069365 -41.2558821)",50,,
260230588,False,2,Baquedano,primary,False,99.572,"LINESTRING (-73.0057824 -41.2555707, -73.0061823 -41.2547272)",50,V-155,
260230588,False,2,Baquedano,primary,True,41.033,"LINESTRING (-73.0057824 -41.2555707, -73.0056176 -41.2559183)",50,V-155,
389169787,False,2,Baquedano,primary,False,52.948,"LINESTRING (-73.0050573 -41.257092, -73.0052734 -41.2566444)",,V-155,
754988166,False,2,Errázuriz,primary,True,23.608,"LINESTRING (-73.0050573 -41.257092, -73.005232 -41.257168, -73.0053017 -41.2571984)",,,
783914449,False,2,Errázuriz,tertiary,False,116.16,"LINESTRING (-73.0050573 -41.257092, -73.0043968 -41.2568285, -73.0043491 -41.2568087, -73.0042571 -41.2567709, -73.0041824 -41.2567339, -73.0041066 -41.2566866, -73.0040482 -41.2566316, -73.004009 -41.2565758, -73.003973 -41.2564921)",50,,
65950284,False,2,Manuel Bulnes,residential,True,96.329,"LINESTRING (-73.0044174 -41.255226, -73.0033335 -41.2549319)",50,,
278720050,True,2,Salomón Negrín,tertiary,False,98.83500000000001,"LINESTRING (-73.0044174 -41.255226, -73.004159 -41.2557774, -73.0040244 -41.2560643)",50,,
98679427,True,2,Vicente Pérez Rosales,primary,False,12.308,"LINESTRING (-73.0048868 -41.2577264, -73.0049302 -41.2576712, -73.0049617 -41.2576311)",,,
65945038,True,2,Errázuriz,primary,False,67.852,"LINESTRING (-73.0053017 -41.2571984, -73.005372 -41.257229, -73.0060039 -41.2575045)",50,,
98679427,True,2,Vicente Pérez Rosales,primary,False,57.477000000000004,"LINESTRING (-73.0053017 -41.2571984, -73.0053259 -41.2571676, -73.0053498 -41.2571371, -73.0056513 -41.2567533)",,,
754988166,False,2,Errázuriz,primary,False,23.608,"LINESTRING (-73.0053017 -41.2571984, -73.005232 -41.257168, -73.0050573 -41.257092)",,,
1098296833,False,2,O'Higgins,residential,False,40.747,"LINESTRING (-73.004454 -41.2582772, -73.0040393 -41.2580846)",50,,
1098296833,False,2,O'Higgins,residential,True,67.1,"LINESTRING (-73.004454 -41.2582772, -73.0051377 -41.2585934)",50,,
98679427,True,2,Vicente Pérez Rosales,primary,False,71.133,"LINESTRING (-73.004454 -41.2582772, -73.0044993 -41.2582196, -73.0048626 -41.2577572, -73.0048868 -41.2577264)",,,
65950269,True,2,San Martín,residential,False,119.034,"LINESTRING (-73.0047041 -41.2591301, -73.0048254 -41.2591859, -73.0059189 -41.2596887)",50,,
275382435,True,2,Manuel Antonio Matta,primary,False,68.97,"LINESTRING (-73.0047041 -41.2591301, -73.0046668 -41.2591763, -73.0042759 -41.2596603)",50,,
65950273,False,,Candelaria,residential,True,43.257,"LINESTRING (-73.0036145 -41.2593457, -73.0031704 -41.259146)",,,
93660556,False,2,Vicente Pérez Rosales,primary,True,91.235,"LINESTRING (-73.0036145 -41.2593457, -73.0030751 -41.260059)",,,
98679427,True,2,Vicente Pérez Rosales,primary,False,67.98,"LINESTRING (-73.0036145 -41.2593457, -73.0036523 -41.2592976, -73.0039963 -41.2588598, -73.0040281 -41.2588193)",,,
65950283,False,2,Blanco,residential,False,10.203,"LINESTRING (-73.0022147 -41.2546288, -73.0021755 -41.2547157)",50,,
65950283,False,2,Blanco,residential,True,99.066,"LINESTRING (-73.0022147 -41.2546288, -73.0025954 -41.2537851)",50,,
65950284,False,2,Manuel Bulnes,residential,False,99.413,"LINESTRING (-73.0022147 -41.2546288, -73.0033335 -41.2549319)",50,,
65950284,False,2,Manuel Bulnes,residential,True,14.559,"LINESTRING (-73.0022147 -41.2546288, -73.0020509 -41.2545843)",50,,
65945055,False,2,Manuel Bulnes,residential,False,133.772,"LINESTRING (-73.0069365 -41.2558821, -73.0084427 -41.2562885)",50,,
65945055,False,2,Manuel Bulnes,residential,True,102.501,"LINESTRING (-73.0069365 -41.2558821, -73.0057824 -41.2555707)",50,,
98679415,False,2,Manuel Antonio Matta,residential,False,97.189,"LINESTRING (-73.0069365 -41.2558821, -73.0065168 -41.2566972)",50,,
